chapter_no,chapter_title,start_page,end_page
1,বাস্তব সংখ্যা,6,25
2,সেট ও ফাংশন,26,47
3,বীজগাণিতিক রাশি,48,79
4,সূচক ও লগারিদম,80,97
5,এক চলকবিশিষ্ট সমীকরণ,98,115
6,"রেখা, কোণ ও ত্রিভুজ",116,140
7,ব্যাবহারিক জ্যামিতি,141,156
8,বৃত্ত,157,178
9,ত্রিকোণমিতিক অনুপাত,179,201
10,দূরত্ব ও উচ্চতা,202,209
11,বীজগাণিতিক অনুপাত ও সমানুপাত,210,228
12,দুই চলকবিশিষ্ট সরল সহসমীকরণ,229,253
13,সসীম ধারা,254,270
14,"অনুপাত, সদৃশতা ও প্রতিসমতা",271,289
15,ক্ষেত্রফল সম্পর্কিত উপপাদ্য ও সম্পাদ্য,290,298
16,পরিমিতি,299,330
17,পরিসংখ্যান,331,349
