grade,subject,chapter,topic,scope_note,topic_raw
9-10,geography,অধ্যায় ১: ভূগোল ও পরিবেশ,ভূগোলের ধারণা,,ভূগোলের ধারণা
9-10,geography,অধ্যায় ১: ভূগোল ও পরিবেশ,ভূগোলের পরিধি,,ভূগোলের পরিধি
9-10,geography,অধ্যায় ১: ভূগোল ও পরিবেশ,প্রাকৃতিক ভূগোল,,প্রাকৃতিক ভূগোল
9-10,geography,অধ্যায় ১: ভূগোল ও পরিবেশ,প্রাকৃতিক ভূগোলের শাখা,,প্রাকৃতিক ভূগোলের শাখা
9-10,geography,অধ্যায় ১: ভূগোল ও পরিবেশ,প্রাকৃতিক ভূগোলের প্রয়োগ,,প্রাকৃতিক ভূগোলের প্রয়োগ
9-10,geography,অধ্যায় ১: ভূগোল ও পরিবেশ,মানব ভূগোল,,মানব ভূগোল
9-10,geography,অধ্যায় ১: ভূগোল ও পরিবেশ,মানব ভূগোলের শাখা,,মানব ভূগোলের শাখা
9-10,geography,অধ্যায় ১: ভূগোল ও পরিবেশ,মানব ভূগোলের প্রয়োগ,,মানব ভূগোলের প্রয়োগ
9-10,geography,অধ্যায় ১: ভূগোল ও পরিবেশ,উপকৃত ভূগোল,,উপকৃত ভূগোল
9-10,geography,অধ্যায় ১: ভূগোল ও পরিবেশ,উপকৃত ভূগোলের প্রয়োগ,,উপকৃত ভূগোলের প্রয়োগ
9-10,geography,অধ্যায় ১: ভূগোল ও পরিবেশ,ভূগোল ও পরিবেশের সম্পর্ক,,ভূগোল ও পরিবেশের সম্পর্ক
9-10,geography,অধ্যায় ১: ভূগোল ও পরিবেশ,পরিবেশের ধারণা,,পরিবেশের ধারণা
9-10,geography,অধ্যায় ১: ভূগোল ও পরিবেশ,পরিবেশের উপাদান,,পরিবেশের উপাদান
9-10,geography,অধ্যায় ১: ভূগোল ও পরিবেশ,প্রাকৃতিক উপাদান,,প্রাকৃতিক উপাদান
9-10,geography,অধ্যায় ১: ভূগোল ও পরিবেশ,মানবসৃষ্ট উপাদান,,মানবসৃষ্ট উপাদান
9-10,geography,অধ্যায় ১: ভূগোল ও পরিবেশ,পরিবেশের গঠন,,পরিবেশের গঠন
9-10,geography,অধ্যায় ১: ভূগোল ও পরিবেশ,পরিবেশের প্রকারভেদ,,পরিবেশের প্রকারভেদ
9-10,geography,অধ্যায় ১: ভূগোল ও পরিবেশ,প্রাকৃতিক পরিবেশ,,প্রাকৃতিক পরিবেশ
9-10,geography,অধ্যায় ১: ভূগোল ও পরিবেশ,মানবসৃষ্ট পরিবেশ,,মানবসৃষ্ট পরিবেশ
9-10,geography,অধ্যায় ১: ভূগোল ও পরিবেশ,পরিবেশের বাস্তবতা,,পরিবেশের বাস্তবতা
9-10,geography,অধ্যায় ১: ভূগোল ও পরিবেশ,ভূগোল বিজ্ঞান ও পরিবেশবিদ্যার পার্থক্য,,ভূগোল বিজ্ঞান ও পরিবেশবিদ্যার পার্থক্য
9-10,geography,অধ্যায় ১: ভূগোল ও পরিবেশ,পাঠের গুরুত্ব,,পাঠের গুরুত্ব
9-10,geography,অধ্যায় ১: ভূগোল ও পরিবেশ,নারী ও পুরুষ অধিকার সমতা,,নারী ও পুরুষ অধিকার সমতা
9-10,geography,অধ্যায় ২: মহাবিশ্ব ও আমাদের পৃথিবী,মহাবিশ্বের ধারণা,,মহাবিশ্বের ধারণা
9-10,geography,অধ্যায় ২: মহাবিশ্ব ও আমাদের পৃথিবী,মহাবিশ্বের উৎপত্তি,,মহাবিশ্বের উৎপত্তি
9-10,geography,অধ্যায় ২: মহাবিশ্ব ও আমাদের পৃথিবী,মহাকর্ষ বল,,মহাকর্ষ বল
9-10,geography,অধ্যায় ২: মহাবিশ্ব ও আমাদের পৃথিবী,মহাবিশ্বের বিস্তার,,মহাবিশ্বের বিস্তার
9-10,geography,অধ্যায় ২: মহাবিশ্ব ও আমাদের পৃথিবী,মহাকাশের ধারণা,,মহাকাশের ধারণা
9-10,geography,অধ্যায় ২: মহাবিশ্ব ও আমাদের পৃথিবী,মহাকাশ গবেষণার ইতিহাস,,মহাকাশ গবেষণার ইতিহাস
9-10,geography,অধ্যায় ২: মহাবিশ্ব ও আমাদের পৃথিবী,মহাকাশ গবেষণার যুগ,,মহাকাশ গবেষণার যুগ
9-10,geography,অধ্যায় ২: মহাবিশ্ব ও আমাদের পৃথিবী,তারকাসমূহের পরিচিতি,,তারকাসমূহের পরিচিতি
9-10,geography,অধ্যায় ২: মহাবিশ্ব ও আমাদের পৃথিবী,তারকাসমূহের শ্রেণিবিভাগ,,তারকাসমূহের শ্রেণিবিভাগ
9-10,geography,অধ্যায় ২: মহাবিশ্ব ও আমাদের পৃথিবী,নক্ষত্র মণ্ডলীর পরিচিতি,,নক্ষত্র মণ্ডলীর পরিচিতি
9-10,geography,অধ্যায় ২: মহাবিশ্ব ও আমাদের পৃথিবী,নক্ষত্র মণ্ডলীর উপাদান,,নক্ষত্র মণ্ডলীর উপাদান
9-10,geography,অধ্যায় ২: মহাবিশ্ব ও আমাদের পৃথিবী,আমাদের জ্যোতির্বৃন্দ ও দূরত্ব,,আমাদের জ্যোতির্বৃন্দ ও দূরত্ব
9-10,geography,অধ্যায় ২: মহাবিশ্ব ও আমাদের পৃথিবী,সৌরজগতের ধারণা,,সৌরজগতের ধারণা
9-10,geography,অধ্যায় ২: মহাবিশ্ব ও আমাদের পৃথিবী,সৌরজগতের উৎপত্তি,,সৌরজগতের উৎপত্তি
9-10,geography,অধ্যায় ২: মহাবিশ্ব ও আমাদের পৃথিবী,সূর্যের বৈশিষ্ট্য,,সূর্যের বৈশিষ্ট্য
9-10,geography,অধ্যায় ২: মহাবিশ্ব ও আমাদের পৃথিবী,সৌরজগতের গ্রহসমূহ,,সৌরজগতের গ্রহসমূহ
9-10,geography,অধ্যায় ২: মহাবিশ্ব ও আমাদের পৃথিবী,সৌরজগতের গ্রহের বৈশিষ্ট্য,,সৌরজগতের গ্রহের বৈশিষ্ট্য
9-10,geography,অধ্যায় ২: মহাবিশ্ব ও আমাদের পৃথিবী,শুক্র গ্রহের বৈশিষ্ট্য,,শুক্র গ্রহের বৈশিষ্ট্য
9-10,geography,অধ্যায় ২: মহাবিশ্ব ও আমাদের পৃথিবী,শুক্র গ্রহের জ্বলন্ত বায়ুমণ্ডল,,শুক্র গ্রহের জ্বলন্ত বায়ুমণ্ডল
9-10,geography,অধ্যায় ২: মহাবিশ্ব ও আমাদের পৃথিবী,পৃথিবীর রূপ,,পৃথিবীর রূপ
9-10,geography,অধ্যায় ২: মহাবিশ্ব ও আমাদের পৃথিবী,পৃথিবীর বিশেষত্ব,,পৃথিবীর বিশেষত্ব
