"grade","subject","chapter","topic","scope_note","topic_raw"
"6","math6","অধ্যায় ১: স্বাভাবিক সংখ্যা ও ভগ্নাংশ","অঙ্কপাতনের ধারণা","","অঙ্কপাতনের ধারণা"
"6","math6","অধ্যায় ১: স্বাভাবিক সংখ্যা ও ভগ্নাংশ","দেশীয় সংখ্যা পদ্ধতি","","দেশীয় সংখ্যা পদ্ধতি"
"6","math6","অধ্যায় ১: স্বাভাবিক সংখ্যা ও ভগ্নাংশ","আন্তর্জাতিক গণনা পদ্ধতি","","আন্তর্জাতিক গণনা পদ্ধতি"
"6","math6","অধ্যায় ১: স্বাভাবিক সংখ্যা ও ভগ্নাংশ","ভগ্নাংশের ধারণা","","ভগ্নাংশের ধারণা"
"6","math6","অধ্যায় ১: স্বাভাবিক সংখ্যা ও ভগ্নাংশ","দশমিক ভগ্নাংশ","","দশমিক ভগ্নাংশ"
"6","math6","অধ্যায় ১: স্বাভাবিক সংখ্যা ও ভগ্নাংশ","মৌলিক ও যৌগিক সংখ্যা","","মৌলিক ও যৌগিক সংখ্যা"
"6","math6","অধ্যায় ১: স্বাভাবিক সংখ্যা ও ভগ্নাংশ","সহ-মৌলিক সংখ্যা","","সহ-মৌলিক সংখ্যা"
"6","math6","অধ্যায় ১: স্বাভাবিক সংখ্যা ও ভগ্নাংশ","বিভাজ্যতা পরীক্ষা","","বিভাজ্যতা পরীক্ষা"
"6","math6","অধ্যায় ১: স্বাভাবিক সংখ্যা ও ভগ্নাংশ","গ.সা.গু. নির্ণয়","","গ.সা.গু. নির্ণয়"
"6","math6","অধ্যায় ১: স্বাভাবিক সংখ্যা ও ভগ্নাংশ","ল.সা.গু. নির্ণয়","","ল.সা.গু. নির্ণয়"
"6","math6","অধ্যায় ১: স্বাভাবিক সংখ্যা ও ভগ্নাংশ","ভগ্নাংশের সরলীকরণ","","ভগ্নাংশের সরলীকরণ"
"6","math6","অধ্যায় ১: স্বাভাবিক সংখ্যা ও ভগ্নাংশ","দশমিক ভগ্নাংশের সরলীকরণ","","দশমিক ভগ্নাংশের সরলীকরণ"
"6","math6","অধ্যায় ২: অনুপাত ও শতকরা","অনুপাতের ধারণা","","অনুপাতের ধারণা"
"6","math6","অধ্যায় ২: অনুপাত ও শতকরা","সরল অনুপাতের প্রয়োগ","","সরল অনুপাতের প্রয়োগ"
"6","math6","অধ্যায় ২: অনুপাত ও শতকরা","শতকরার ধারণা","","শতকরার ধারণা"
"6","math6","অধ্যায় ২: অনুপাত ও শতকরা","ভগ্নাংশ থেকে শতকরা","","ভগ্নাংশ থেকে শতকরা"
"6","math6","অধ্যায় ২: অনুপাত ও শতকরা","শতকরা থেকে ভগ্নাংশ","","শতকরা থেকে ভগ্নাংশ"
"6","math6","অধ্যায় ২: অনুপাত ও শতকরা","অনুপাতকে শতকরায় প্রকাশ","","অনুপাতকে শতকরায় প্রকাশ"
"6","math6","অধ্যায় ২: অনুপাত ও শতকরা","শতকরাকে অনুপাতে প্রকাশ","","শতকরাকে অনুপাতে প্রকাশ"
"6","math6","অধ্যায় ২: অনুপাত ও শতকরা","একক নিয়মের পদ্ধতি","","একক নিয়মের পদ্ধতি"
"6","math6","অধ্যায় ২: অনুপাত ও শতকরা","একক নিয়মে সময় ও কাজ","","একক নিয়মে সময় ও কাজ"
"6","math6","অধ্যায় ২: অনুপাত ও শতকরা","একক নিয়মে লোকসংখ্যা ও খাদ্য","","একক নিয়মে লোকসংখ্যা ও খাদ্য"
"6","math6","অধ্যায় ২: অনুপাত ও শতকরা","একক নিয়মে সময় ও দূরত্ব","","একক নিয়মে সময় ও দূরত্ব"
"6","math6","অধ্যায় ৩: পূর্ণসংখ্যা","পূর্ণসংখ্যার ধারণা","","পূর্ণসংখ্যার ধারণা"
"6","math6","অধ্যায় ৩: পূর্ণসংখ্যা","ঋণাত্মক সংখ্যার ধারণা","","ঋণাত্মক সংখ্যার ধারণা"
"6","math6","অধ্যায় ৩: পূর্ণসংখ্যা","ঋণাত্মক সংখ্যা লিখন পদ্ধতি","","ঋণাত্মক সংখ্যা লিখন পদ্ধতি"
"6","math6","অধ্যায় ৩: পূর্ণসংখ্যা","সংখ্যার হ্রাস ও বৃদ্ধি","","সংখ্যার হ্রাস ও বৃদ্ধি"
"6","math6","অধ্যায় ৩: পূর্ণসংখ্যা","ঋণাত্মক সংখ্যার ব্যবহার","","ঋণাত্মক সংখ্যার ব্যবহার"
"6","math6","অধ্যায় ৩: পূর্ণসংখ্যা","সংখ্যারেখায় পূর্ণসংখ্যা","","সংখ্যারেখায় পূর্ণসংখ্যা"
"6","math6","অধ্যায় ৩: পূর্ণসংখ্যা","পূর্ণসংখ্যার যোগ","","পূর্ণসংখ্যার যোগ"
"6","math6","অধ্যায় ৩: পূর্ণসংখ্যা","পূর্ণসংখ্যার বিয়োগ","","পূর্ণসংখ্যার বিয়োগ"
"6","math6","অধ্যায় ৩: পূর্ণসংখ্যা","ধনাত্মক ও ঋণাত্মক সংখ্যার তুলনা","","ধনাত্মক ও ঋণাত্মক সংখ্যার তুলনা"
"6","math6","অধ্যায় ৩: পূর্ণসংখ্যা","সংখ্যারেখায় অবস্থান নির্ণয়","","সংখ্যারেখায় অবস্থান নির্ণয়"
"6","math6","অধ্যায় ৪: বীজগণিতীয় রাশি","চলকের ধারণা","","চলকের ধারণা"
"6","math6","অধ্যায় ৪: বীজগণিতীয় রাশি","প্রক্রিয়া চিহ্নের পরিচিতি","","প্রক্রিয়া চিহ্নের পরিচিতি"
"6","math6","অধ্যায় ৪: বীজগণিতীয় রাশি","একক ও একাধিক চলকের যোগ ও বিয়োগ","","একক ও একাধিক চলকের যোগ ও বিয়োগ"
"6","math6","অধ্যায় ৪: বীজগণিতীয় রাশি","বীজগণিতীয় রাশির ধারণা","","বীজগণিতীয় রাশির ধারণা"
"6","math6","অধ্যায় ৪: বীজগণিতীয় রাশি","বীজগণিতীয় রাশির সরলীকরণ","","বীজগণিতীয় রাশির সরলীকরণ"
"6","math6","অধ্যায় ৫: সরল সমীকরণ","সমীকরণের ধারণা","","সমীকরণের ধারণা"
"6","math6","অধ্যায় ৫: সরল সমীকরণ","সরল সমীকরণের পরিচিতি","","সরল সমীকরণের পরিচিতি"
"6","math6","অধ্যায় ৫: সরল সমীকরণ","সরল সমীকরণের সমাধান","","সরল সমীকরণের সমাধান"
"6","math6","অধ্যায় ৫: সরল সমীকরণ","সমীকরণ গঠনের পদ্ধতি","","সমীকরণ গঠনের পদ্ধতি"
"6","math6","অধ্যায় ৫: সরল সমীকরণ","সমীকরণের প্রয়োগ","","সমীকরণের প্রয়োগ"
"6","math6","অধ্যায় ৫: সরল সমীকরণ","চলকের মান নির্ণয়","","চলকের মান নির্ণয়"
"6","math6","অধ্যায় ৫: সরল সমীকরণ","সমতার ধারণা","","সমতার ধারণা"
"6","math6","অধ্যায় ৫: সরল সমীকরণ","বাস্তব সমস্যায় সমীকরণ","","বাস্তব সমস্যায় সমীকরণ"
"6","math6","অধ্যায় ৫: সরল সমীকরণ","সরলীকরণের নিয়মাবলী","","সরলীকরণের নিয়মাবলী"
"6","math6","অধ্যায় ৫: সরল সমীকরণ","সমাধান যাচাই","","সমাধান যাচাই"
"6","math6","অধ্যায় ৬: জ্যামিতির মৌলিক ধারণা","বিন্দুর ধারণা","","বিন্দুর ধারণা"
"6","math6","অধ্যায় ৬: জ্যামিতির মৌলিক ধারণা","রেখার ধারণা","","রেখার ধারণা"
"6","math6","অধ্যায় ৬: জ্যামিতির মৌলিক ধারণা","রেখাংশের ধারণা","","রেখাংশের ধারণা"
"6","math6","অধ্যায় ৬: জ্যামিতির মৌলিক ধারণা","রশ্মির ধারণা","","রশ্মির ধারণা"
"6","math6","অধ্যায় ৬: জ্যামিতির মৌলিক ধারণা","সমতলের ধারণা","","সমতলের ধারণা"
"6","math6","অধ্যায় ৬: জ্যামিতির মৌলিক ধারণা","কোণের ধারণা","","কোণের ধারণা"
"6","math6","অধ্যায় ৬: জ্যামিতির মৌলিক ধারণা","সমকোণের পরিচিতি","","সমকোণের পরিচিতি"
"6","math6","অধ্যায় ৬: জ্যামিতির মৌলিক ধারণা","ত্রিভুজের প্রকারভেদ","","ত্রিভুজের প্রকারভেদ"
"6","math6","অধ্যায় ৬: জ্যামিতির মৌলিক ধারণা","সমদ্বিবাহু ত্রিভুজ","","সমদ্বিবাহু ত্রিভুজ"
"6","math6","অধ্যায় ৬: জ্যামিতির মৌলিক ধারণা","সমবাহু ত্রিভুজ","","সমবাহু ত্রিভুজ"
"6","math6","অধ্যায় ৬: জ্যামিতির মৌলিক ধারণা","চতুর্ভুজের প্রকারভেদ","","চতুর্ভুজের প্রকারভেদ"
"6","math6","অধ্যায় ৬: জ্যামিতির মৌলিক ধারণা","সামান্তরিকের ধারণা","","সামান্তরিকের ধারণা"
"6","math6","অধ্যায় ৬: জ্যামিতির মৌলিক ধারণা","বর্গক্ষেত্রের ধারণা","","বর্গক্ষেত্রের ধারণা"
"6","math6","অধ্যায় ৭: ব্যবহারিক জ্যামিতি","রেখাংশ অঙ্কনের পদ্ধতি","","রেখাংশ অঙ্কনের পদ্ধতি"
"6","math6","অধ্যায় ৭: ব্যবহারিক জ্যামিতি","সমদ্বিখণ্ডিত রেখাংশ","","সমদ্বিখণ্ডিত রেখাংশ"
"6","math6","অধ্যায় ৭: ব্যবহারিক জ্যামিতি","কৌণিক মাপ নির্ণয়","","কৌণিক মাপ নির্ণয়"
"6","math6","অধ্যায় ৭: ব্যবহারিক জ্যামিতি","কম্পাস দিয়ে অঙ্কন","","কম্পাস দিয়ে অঙ্কন"
"6","math6","অধ্যায় ৭: ব্যবহারিক জ্যামিতি","রুলার দিয়ে অঙ্কন","","রুলার দিয়ে অঙ্কন"
"6","math6","অধ্যায় ৭: ব্যবহারিক জ্যামিতি","সমদ্বিখণ্ডনের ধারণা","","সমদ্বিখণ্ডনের ধারণা"
"6","math6","অধ্যায় ৭: ব্যবহারিক জ্যামিতি","সমান রেখাংশ অঙ্কন","","সমান রেখাংশ অঙ্কন"
"6","math6","অধ্যায় ৭: ব্যবহারিক জ্যামিতি","কোণ মাপার পদ্ধতি","","কোণ মাপার পদ্ধতি"
"6","math6","অধ্যায় ৮: তথ্য ও উপাত্ত","তথ্য ও উপাত্তের ধারণা","","তথ্য ও উপাত্তের ধারণা"
"6","math6","অধ্যায় ৮: তথ্য ও উপাত্ত","শ্রেণিবিন্যাসের পদ্ধতি","","শ্রেণিবিন্যাসের পদ্ধতি"
"6","math6","অধ্যায় ৮: তথ্য ও উপাত্ত","গড় নির্ণয়","","গড় নির্ণয়"
"6","math6","অধ্যায় ৮: তথ্য ও উপাত্ত","মধ্যক নির্ণয়","","মধ্যক নির্ণয়"
"6","math6","অধ্যায় ৮: তথ্য ও উপাত্ত","বহুলক নির্ণয়","","বহুলক নির্ণয়"
"6","math6","অধ্যায় ৮: তথ্য ও উপাত্ত","রেখাচিত্র অঙ্কন","","রেখাচিত্র অঙ্কন"
"6","math6","অধ্যায় ৮: তথ্য ও উপাত্ত","সারণি প্রস্তুতি","","সারণি প্রস্তুতি"
"6","math6","অধ্যায় ৮: তথ্য ও উপাত্ত","তথ্য সংগ্রহ","","তথ্য সংগ্রহ"
"6","math6","অধ্যায় ৮: তথ্য ও উপাত্ত","উপাত্ত বিশ্লেষণ","","উপাত্ত বিশ্লেষণ"
