"grade","subject","chapter","topic","scope_note","topic_raw"
"6","science6","অধ্যায় ১: বৈজ্ঞানিক প্রক্রিয়া ও পরিমাপ","বৈজ্ঞানিক জ্ঞান অর্জনের প্রক্রিয়া","","বৈজ্ঞানিক জ্ঞান অর্জনের প্রক্রিয়া"
"6","science6","অধ্যায় ১: বৈজ্ঞানিক প্রক্রিয়া ও পরিমাপ","বৈজ্ঞানিক প্রক্রিয়ার ধাপসমূহ","","বৈজ্ঞানিক প্রক্রিয়ার ধাপসমূহ"
"6","science6","অধ্যায় ১: বৈজ্ঞানিক প্রক্রিয়া ও পরিমাপ","পরীক্ষণ পদ্ধতির ধাপ","","পরীক্ষণ পদ্ধতির ধাপ"
"6","science6","অধ্যায় ১: বৈজ্ঞানিক প্রক্রিয়া ও পরিমাপ","পরিমাপের প্রয়োজনীয়তা","","পরিমাপের প্রয়োজনীয়তা"
"6","science6","অধ্যায় ১: বৈজ্ঞানিক প্রক্রিয়া ও পরিমাপ","পরিমাপের একক","","পরিমাপের একক"
"6","science6","অধ্যায় ১: বৈজ্ঞানিক প্রক্রিয়া ও পরিমাপ","মৌলিক ও যৌগিক একক","","মৌলিক ও যৌগিক একক"
"6","science6","অধ্যায় ১: বৈজ্ঞানিক প্রক্রিয়া ও পরিমাপ","এককের আন্তর্জাতিক পদ্ধতি","এসআই","এককের আন্তর্জাতিক পদ্ধতি (এসআই)"
"6","science6","অধ্যায় ১: বৈজ্ঞানিক প্রক্রিয়া ও পরিমাপ","দৈর্ঘ্যের একক ও তার গুণিতক","","দৈর্ঘ্যের একক ও তার গুণিতক"
"6","science6","অধ্যায় ১: বৈজ্ঞানিক প্রক্রিয়া ও পরিমাপ","ভরের একক ও তার গুণিতক","","ভরের একক ও তার গুণিতক"
"6","science6","অধ্যায় ১: বৈজ্ঞানিক প্রক্রিয়া ও পরিমাপ","সময়ের একক","","সময়ের একক"
"6","science6","অধ্যায় ১: বৈজ্ঞানিক প্রক্রিয়া ও পরিমাপ","দৈর্ঘ্য পরিমাপের পদ্ধতি","","দৈর্ঘ্য পরিমাপের পদ্ধতি"
"6","science6","অধ্যায় ১: বৈজ্ঞানিক প্রক্রিয়া ও পরিমাপ","ভর পরিমাপের পদ্ধতি","","ভর পরিমাপের পদ্ধতি"
"6","science6","অধ্যায় ১: বৈজ্ঞানিক প্রক্রিয়া ও পরিমাপ","ক্ষেত্রফল পরিমাপের পদ্ধতি","","ক্ষেত্রফল পরিমাপের পদ্ধতি"
"6","science6","অধ্যায় ১: বৈজ্ঞানিক প্রক্রিয়া ও পরিমাপ","আয়তন পরিমাপের পদ্ধতি","","আয়তন পরিমাপের পদ্ধতি"
"6","science6","অধ্যায় ১: বৈজ্ঞানিক প্রক্রিয়া ও পরিমাপ","তরল পদার্থের আয়তন পরিমাপ","","তরল পদার্থের আয়তন পরিমাপ"
"6","science6","অধ্যায় ১: বৈজ্ঞানিক প্রক্রিয়া ও পরিমাপ","তাপমাত্রা পরিমাপ ও থার্মোমিটার","","তাপমাত্রা পরিমাপ ও থার্মোমিটার"
"6","science6","অধ্যায় ২: জীবকুল ও তাদের শ্রেণিবিন্যাস","জীব কী","","জীব কী"
"6","science6","অধ্যায় ২: জীবকুল ও তাদের শ্রেণিবিন্যাস","জীবের প্রধান বৈশিষ্ট্যসমূহ","","জীবের প্রধান বৈশিষ্ট্যসমূহ"
"6","science6","অধ্যায় ২: জীবকুল ও তাদের শ্রেণিবিন্যাস","জীবজগতের শ্রেণিবিন্যাস","","জীবজগতের শ্রেণিবিন্যাস"
"6","science6","অধ্যায় ২: জীবকুল ও তাদের শ্রেণিবিন্যাস","রাজ্য মনেরার বৈশিষ্ট্য","","রাজ্য মনেরার বৈশিষ্ট্য"
"6","science6","অধ্যায় ২: জীবকুল ও তাদের শ্রেণিবিন্যাস","রাজ্য প্রোটিস্টার বৈশিষ্ট্য","","রাজ্য প্রোটিস্টার বৈশিষ্ট্য"
"6","science6","অধ্যায় ২: জীবকুল ও তাদের শ্রেণিবিন্যাস","রাজ্য ফানজাইয়ের বৈশিষ্ট্য","","রাজ্য ফানজাইয়ের বৈশিষ্ট্য"
"6","science6","অধ্যায় ২: জীবকুল ও তাদের শ্রেণিবিন্যাস","রাজ্য উদ্ভিদের বৈশিষ্ট্য","","রাজ্য উদ্ভিদের বৈশিষ্ট্য"
"6","science6","অধ্যায় ২: জীবকুল ও তাদের শ্রেণিবিন্যাস","রাজ্য এনিমেলিয়ার বৈশিষ্ট্য","","রাজ্য এনিমেলিয়ার বৈশিষ্ট্য"
"6","science6","অধ্যায় ২: জীবকুল ও তাদের শ্রেণিবিন্যাস","উদ্ভিদ জগতের শ্রেণিবিন্যাস","","উদ্ভিদ জগতের শ্রেণিবিন্যাস"
"6","science6","অধ্যায় ২: জীবকুল ও তাদের শ্রেণিবিন্যাস","অপুষ্পক উদ্ভিদের শ্রেণিবিভাগ","","অপুষ্পক উদ্ভিদের শ্রেণিবিভাগ"
"6","science6","অধ্যায় ২: জীবকুল ও তাদের শ্রেণিবিন্যাস","সপুষ্পক উদ্ভিদের শ্রেণিবিভাগ","","সপুষ্পক উদ্ভিদের শ্রেণিবিভাগ"
"6","science6","অধ্যায় ২: জীবকুল ও তাদের শ্রেণিবিন্যাস","প্রাণী জগতের শ্রেণিবিন্যাস","","প্রাণী জগতের শ্রেণিবিন্যাস"
"6","science6","অধ্যায় ২: জীবকুল ও তাদের শ্রেণিবিন্যাস","মেরুদণ্ডী প্রাণীর শ্রেণিবিন্যাস","","মেরুদণ্ডী প্রাণীর শ্রেণিবিন্যাস"
"6","science6","অধ্যায় ২: জীবকুল ও তাদের শ্রেণিবিন্যাস","অমেরুদণ্ডী প্রাণীর শ্রেণিবিন্যাস","","অমেরুদণ্ডী প্রাণীর শ্রেণিবিন্যাস"
"6","science6","অধ্যায় ৩: উদ্ভিদ ও প্রাণীর কোষীয় সংগঠন","কোষের ধারণা ও আবিষ্কার","","কোষের ধারণা ও আবিষ্কার"
"6","science6","অধ্যায় ৩: উদ্ভিদ ও প্রাণীর কোষীয় সংগঠন","অনুবীক্ষণ যন্ত্রের গঠন","","অনুবীক্ষণ যন্ত্রের গঠন"
"6","science6","অধ্যায় ৩: উদ্ভিদ ও প্রাণীর কোষীয় সংগঠন","জীবকোষের প্রকারভেদ","","জীবকোষের প্রকারভেদ"
"6","science6","অধ্যায় ৩: উদ্ভিদ ও প্রাণীর কোষীয় সংগঠন","কোষপ্রাচীরের গঠন ও কাজ","","কোষপ্রাচীরের গঠন ও কাজ"
"6","science6","অধ্যায় ৩: উদ্ভিদ ও প্রাণীর কোষীয় সংগঠন","প্রোটোপ্লাজমের অংশসমূহ","","প্রোটোপ্লাজমের অংশসমূহ"
"6","science6","অধ্যায় ৩: উদ্ভিদ ও প্রাণীর কোষীয় সংগঠন","কোষঝিল্লির গঠন ও কাজ","","কোষঝিল্লির গঠন ও কাজ"
"6","science6","অধ্যায় ৩: উদ্ভিদ ও প্রাণীর কোষীয় সংগঠন","সাইটোপ্লাজম ও তার অঙ্গবিভাগ","","সাইটোপ্লাজম ও তার অঙ্গবিভাগ"
"6","science6","অধ্যায় ৩: উদ্ভিদ ও প্রাণীর কোষীয় সংগঠন","প্লাস্টিডের প্রকারভেদ ও কাজ","","প্লাস্টিডের প্রকারভেদ ও কাজ"
"6","science6","অধ্যায় ৩: উদ্ভিদ ও প্রাণীর কোষীয় সংগঠন","কোষগহ্বরের গঠন ও কাজ","","কোষগহ্বরের গঠন ও কাজ"
"6","science6","অধ্যায় ৩: উদ্ভিদ ও প্রাণীর কোষীয় সংগঠন","মাইটোকন্ড্রিয়ার গঠন ও কাজ","","মাইটোকন্ড্রিয়ার গঠন ও কাজ"
"6","science6","অধ্যায় ৩: উদ্ভিদ ও প্রাণীর কোষীয় সংগঠন","নিউক্লিয়াসের গঠন","","নিউক্লিয়াসের গঠন"
"6","science6","অধ্যায় ৩: উদ্ভিদ ও প্রাণীর কোষীয় সংগঠন","নিউক্লিয়ার মেমব্রেন, নিউক্লিওপ্লাজম ও নিউক্লিওলাস","","নিউক্লিয়ার মেমব্রেন, নিউক্লিওপ্লাজম ও নিউক্লিওলাস"
"6","science6","অধ্যায় ৩: উদ্ভিদ ও প্রাণীর কোষীয় সংগঠন","ক্রোমাটিন তন্তুর ভূমিকা","","ক্রোমাটিন তন্তুর ভূমিকা"
"6","science6","অধ্যায় ৩: উদ্ভিদ ও প্রাণীর কোষীয় সংগঠন","জীবদেহে কোষের ভূমিকা","","জীবদেহে কোষের ভূমিকা"
"6","science6","অধ্যায় ৪: উদ্ভিদের বাহ্যিক বৈশিষ্ট্য","আদর্শ সপুষ্পক উদ্ভিদের বাহ্যিক গঠন","","আদর্শ সপুষ্পক উদ্ভিদের বাহ্যিক গঠন"
"6","science6","অধ্যায় ৪: উদ্ভিদের বাহ্যিক বৈশিষ্ট্য","বিটপ ও কাণ্ডের সম্পর্ক","","বিটপ ও কাণ্ডের সম্পর্ক"
"6","science6","অধ্যায় ৪: উদ্ভিদের বাহ্যিক বৈশিষ্ট্য","মূলের অংশসমূহ","","মূলের অংশসমূহ"
"6","science6","অধ্যায় ৪: উদ্ভিদের বাহ্যিক বৈশিষ্ট্য","প্রাথমিক মূল ও অনুষঙ্গিক মূল","","প্রাথমিক মূল ও অনুষঙ্গিক মূল"
"6","science6","অধ্যায় ৪: উদ্ভিদের বাহ্যিক বৈশিষ্ট্য","মূলের প্রকারভেদ","","মূলের প্রকারভেদ"
"6","science6","অধ্যায় ৪: উদ্ভিদের বাহ্যিক বৈশিষ্ট্য","কাণ্ডের অংশসমূহ","","কাণ্ডের অংশসমূহ"
"6","science6","অধ্যায় ৪: উদ্ভিদের বাহ্যিক বৈশিষ্ট্য","কাণ্ডের শ্রেণিবিন্যাস","","কাণ্ডের শ্রেণিবিন্যাস"
"6","science6","অধ্যায় ৪: উদ্ভিদের বাহ্যিক বৈশিষ্ট্য","কাণ্ডের প্রধান কাজ","","কাণ্ডের প্রধান কাজ"
"6","science6","অধ্যায় ৪: উদ্ভিদের বাহ্যিক বৈশিষ্ট্য","পাতার অংশসমূহ","","পাতার অংশসমূহ"
"6","science6","অধ্যায় ৪: উদ্ভিদের বাহ্যিক বৈশিষ্ট্য","পাতার শিরা বিন্যাস","","পাতার শিরা বিন্যাস"
"6","science6","অধ্যায় ৫: সালোকসংশ্লেষণ","উদ্ভিদের খাদ্য প্রস্তুতির ধারণা","","উদ্ভিদের খাদ্য প্রস্তুতির ধারণা"
"6","science6","অধ্যায় ৫: সালোকসংশ্লেষণ","সালোকসংশ্লেষণের শর্তাবলি","","সালোকসংশ্লেষণের শর্তাবলি"
"6","science6","অধ্যায় ৫: সালোকসংশ্লেষণ","সালোকসংশ্লেষণের রাসায়নিক প্রক্রিয়া","","সালোকসংশ্লেষণের রাসায়নিক প্রক্রিয়া"
"6","science6","অধ্যায় ৫: সালোকসংশ্লেষণ","ক্লোরোফিলের ভূমিকা","","ক্লোরোফিলের ভূমিকা"
"6","science6","অধ্যায় ৫: সালোকসংশ্লেষণ","সালোকসংশ্লেষণের তাৎপর্য","","সালোকসংশ্লেষণের তাৎপর্য"
"6","science6","অধ্যায় ৬: স্নায়ুতন্ত্র ও ইন্দ্রিয়সমূহ","স্নায়ুতন্ত্রের সাধারণ গঠন","","স্নায়ুতন্ত্রের সাধারণ গঠন"
"6","science6","অধ্যায় ৬: স্নায়ুতন্ত্র ও ইন্দ্রিয়সমূহ","স্নায়ুকোষের গঠন ও কাজ","","স্নায়ুকোষের গঠন ও কাজ"
"6","science6","অধ্যায় ৬: স্নায়ুতন্ত্র ও ইন্দ্রিয়সমূহ","চোখের বাহ্যিক গঠন","","চোখের বাহ্যিক গঠন"
"6","science6","অধ্যায় ৬: স্নায়ুতন্ত্র ও ইন্দ্রিয়সমূহ","চোখের অভ্যন্তরীণ অংশ","স্ক্লেরা, কর্নিয়া, আইরিস, পিউপিল, লেন্স, রেটিনা","চোখের অভ্যন্তরীণ অংশ (স্ক্লেরা, কর্নিয়া, আইরিস, পিউপিল, লেন্স, রেটিনা)"
"6","science6","অধ্যায় ৬: স্নায়ুতন্ত্র ও ইন্দ্রিয়সমূহ","কানের গঠন","","কানের গঠন"
"6","science6","অধ্যায় ৬: স্নায়ুতন্ত্র ও ইন্দ্রিয়সমূহ","কানের শ্রবণ প্রক্রিয়া","","কানের শ্রবণ প্রক্রিয়া"
"6","science6","অধ্যায় ৬: স্নায়ুতন্ত্র ও ইন্দ্রিয়সমূহ","নাকের গঠন ও ঘ্রাণ ক্ষমতা","","নাকের গঠন ও ঘ্রাণ ক্ষমতা"
"6","science6","অধ্যায় ৬: স্নায়ুতন্ত্র ও ইন্দ্রিয়সমূহ","জিহ্বার গঠন ও স্বাদ গ্রহণ","","জিহ্বার গঠন ও স্বাদ গ্রহণ"
"6","science6","অধ্যায় ৭: পদার্থের বৈশিষ্ট্য ও শ্রেণিবিন্যাস","পদার্থের সাধারণ বৈশিষ্ট্য","","পদার্থের সাধারণ বৈশিষ্ট্য"
"6","science6","অধ্যায় ৭: পদার্থের বৈশিষ্ট্য ও শ্রেণিবিন্যাস","পদার্থের অবস্থা","কঠিন, তরল, গ্যাসীয়","পদার্থের অবস্থা (কঠিন, তরল, গ্যাসীয়)"
"6","science6","অধ্যায় ৭: পদার্থের বৈশিষ্ট্য ও শ্রেণিবিন্যাস","পদার্থের শ্রেণিবিন্যাস","","পদার্থের শ্রেণিবিন্যাস"
"6","science6","অধ্যায় ৭: পদার্থের বৈশিষ্ট্য ও শ্রেণিবিন্যাস","ধাতুর সাধারণ বৈশিষ্ট্য","","ধাতুর সাধারণ বৈশিষ্ট্য"
"6","science6","অধ্যায় ৭: পদার্থের বৈশিষ্ট্য ও শ্রেণিবিন্যাস","ধাতুর তাপ ও বিদ্যুৎ পরিবাহিতা","","ধাতুর তাপ ও বিদ্যুৎ পরিবাহিতা"
"6","science6","অধ্যায় ৭: পদার্থের বৈশিষ্ট্য ও শ্রেণিবিন্যাস","অধাতুর সাধারণ বৈশিষ্ট্য","","অধাতুর সাধারণ বৈশিষ্ট্য"
"6","science6","অধ্যায় ৭: পদার্থের বৈশিষ্ট্য ও শ্রেণিবিন্যাস","ধাতু ও অধাতুর পার্থক্য","","ধাতু ও অধাতুর পার্থক্য"
"6","science6","অধ্যায় ৮: মিশ্রণ","মিশ্রণের সংজ্ঞা ও প্রকারভেদ","","মিশ্রণের সংজ্ঞা ও প্রকারভেদ"
"6","science6","অধ্যায় ৮: মিশ্রণ","সমসত্ত্ব ও অসমসত্ত্ব মিশ্রণ","","সমসত্ত্ব ও অসমসত্ত্ব মিশ্রণ"
"6","science6","অধ্যায় ৮: মিশ্রণ","দ্রবণের সংজ্ঞা","","দ্রবণের সংজ্ঞা"
