"grade","subject","chapter","topic","scope_note","topic_raw"
"8","bgs8","অধ্যায় ১: ঔপনিবেশিক যুগ ও বাংলার স্বাধীনতা সংগ্রাম","ঔপনিবেশিক যুগের পটভূমি","","ঔপনিবেশিক যুগের পটভূমি"
"8","bgs8","অধ্যায় ১: ঔপনিবেশিক যুগ ও বাংলার স্বাধীনতা সংগ্রাম","ব্রিটিশ শাসনের প্রসার ও ধন-রূপান্তর","","ব্রিটিশ শাসনের প্রসার ও ধন-রূপান্তর"
"8","bgs8","অধ্যায় ১: ঔপনিবেশিক যুগ ও বাংলার স্বাধীনতা সংগ্রাম","স্থানীয় শাসনব্যবস্থার পতন","","স্থানীয় শাসনব্যবস্থার পতন"
"8","bgs8","অধ্যায় ১: ঔপনিবেশিক যুগ ও বাংলার স্বাধীনতা সংগ্রাম","সিপাহি বিদ্রোহ ও বঙ্গভঙ্গ","","সিপাহি বিদ্রোহ ও বঙ্গভঙ্গ"
"8","bgs8","অধ্যায় ১: ঔপনিবেশিক যুগ ও বাংলার স্বাধীনতা সংগ্রাম","আন্দোলনের পটভূমি ও ভাষা আন্দোলন","","আন্দোলনের পটভূমি ও ভাষা আন্দোলন"
"8","bgs8","অধ্যায় ১: ঔপনিবেশিক যুগ ও বাংলার স্বাধীনতা সংগ্রাম","বাংলার স্বাধীনতা সংগ্রামের ধাপসমূহ","","বাংলার স্বাধীনতা সংগ্রামের ধাপসমূহ"
"8","bgs8","অধ্যায় ১: ঔপনিবেশিক যুগ ও বাংলার স্বাধীনতা সংগ্রাম","মুক্তিযুদ্ধের পথপ্রদর্শন","","মুক্তিযুদ্ধের পথপ্রদর্শন"
"8","bgs8","অধ্যায় ২: ঔপনিবেশিক যুগের প্রত্নতাত্ত্বিক ঐতিহ্য","প্রত্নতাত্ত্বিক ঐতিহ্যের ধারণা","","প্রত্নতাত্ত্বিক ঐতিহ্যের ধারণা"
"8","bgs8","অধ্যায় ২: ঔপনিবেশিক যুগের প্রত্নতাত্ত্বিক ঐতিহ্য","বাংলার প্রাচীন নগর সভ্যতা","","বাংলার প্রাচীন নগর সভ্যতা"
"8","bgs8","অধ্যায় ২: ঔপনিবেশিক যুগের প্রত্নতাত্ত্বিক ঐতিহ্য","মৈত্রী ও গুপ্ত যুগের প্রত্নসামগ্রী","","মৈত্রী ও গুপ্ত যুগের প্রত্নসামগ্রী"
