"grade","subject","chapter","topic","scope_note","topic_raw"
"9-10","agriculture","অধ্যায় ১: কৃষি প্রযুক্তি","কৃষি প্রযুক্তির ধারণা ও সংজ্ঞা","","কৃষি প্রযুক্তির ধারণা ও সংজ্ঞা"
"9-10","agriculture","অধ্যায় ১: কৃষি প্রযুক্তি","মাটির প্রকারভেদ ও ফসল নির্বাচন","","মাটির প্রকারভেদ ও ফসল নির্বাচন"
"9-10","agriculture","অধ্যায় ১: কৃষি প্রযুক্তি","জমি প্রস্তুতির ধাপ","ভূমিকর্ষ, মাটি পাতানো, গাছ রোপণ","জমি প্রস্তুতির ধাপ (ভূমিকর্ষ, মাটি পাতানো, গাছ রোপণ)"
"9-10","agriculture","অধ্যায় ১: কৃষি প্রযুক্তি","ভূমিকর্ষের উদ্দেশ্য","মাটি নরম করা, খাদ্য পদার্থ মেশানো, পোকা দমন","ভূমিকর্ষের উদ্দেশ্য (মাটি নরম করা, খাদ্য পদার্থ মেশানো, পোকা দমন)"
"9-10","agriculture","অধ্যায় ১: কৃষি প্রযুক্তি","ভূমিকর্ষের প্রকারভেদ","হালকা, গভীর, পুনরাবৃত্তি","ভূমিকর্ষের প্রকারভেদ (হালকা, গভীর, পুনরাবৃত্তি)"
"9-10","agriculture","অধ্যায় ১: কৃষি প্রযুক্তি","বীজ সংরক্ষণ পদ্ধতি","ধানগোলায়, ভোলে, পলিথিন ব্যাগে, মাটকায়","বীজ সংরক্ষণ পদ্ধতি (ধানগোলায়, ভোলে, পলিথিন ব্যাগে, মাটকায়)"
"9-10","agriculture","অধ্যায় ১: কৃষি প্রযুক্তি","ধান গোলায় বীজ সংরক্ষণ","","ধান গোলায় বীজ সংরক্ষণ"
"9-10","agriculture","অধ্যায় ১: কৃষি প্রযুক্তি","ভোলে ও পলিথিন ব্যাগে বীজ সংরক্ষণ","","ভোলে ও পলিথিন ব্যাগে বীজ সংরক্ষণ"
"9-10","agriculture","অধ্যায় ১: কৃষি প্রযুক্তি","মাটকায় বীজ সংরক্ষণ","","মাটকায় বীজ সংরক্ষণ"
"9-10","agriculture","অধ্যায় ২: কৃষি উপকরণ","কৃষি উপকরণের ধারণা","বীজ, সার, কীটনাশক","কৃষি উপকরণের ধারণা (বীজ, সার, কীটনাশক)"
"9-10","agriculture","অধ্যায় ২: কৃষি উপকরণ","ফসল বীজের গুরুত্ব ও নির্বাচন","","ফসল বীজের গুরুত্ব ও নির্বাচন"
"9-10","agriculture","অধ্যায় ২: কৃষি উপকরণ","বংশবিস্তারক উপকরণ","কলম, বীজকন্দ, প্রবণ","বংশবিস্তারক উপকরণ (কলম, বীজকন্দ, প্রবণ)"
"9-10","agriculture","অধ্যায় ২: কৃষি উপকরণ","মাছের পুকুরের স্বরূপ","স্থির, মৌসুমী, আঞ্চলিক","মাছের পুকুরের স্বরূপ (স্থির, মৌসুমী, আঞ্চলিক)"
"9-10","agriculture","অধ্যায় ২: কৃষি উপকরণ","পুকুরের বিভিন্ন স্তর","উপরের, মধ্যস্তর, নিচের","পুকুরের বিভিন্ন স্তর (উপরের, মধ্যস্তর, নিচের)"
"9-10","agriculture","অধ্যায় ২: কৃষি উপকরণ","পুকুরের মাছের প্রকারভেদ","সর্পণকারী, সার্বজনীন, তলদেশ","পুকুরের মাছের প্রকারভেদ (সর্পণকারী, সার্বজনীন, তলদেশ)"
"9-10","agriculture","অধ্যায় ২: কৃষি উপকরণ","গৃহপালিত পাখির আবাসন","মুরগি, হাঁস, কবুতর","গৃহপালিত পাখির আবাসন (মুরগি, হাঁস, কবুতর)"
"9-10","agriculture","অধ্যায় ২: কৃষি উপকরণ","পাখির খাদ্য ও খাদ্যের গুরুত্ব","","পাখির খাদ্য ও খাদ্যের গুরুত্ব"
"9-10","agriculture","অধ্যায় ২: কৃষি উপকরণ","গবাদি পশুর খাদ্য ও খাদ্য তৈরির পদ্ধতি","","গবাদি পশুর খাদ্য ও খাদ্য তৈরির পদ্ধতি"
