"grade","subject","chapter","topic","scope_note","topic_raw"
"9-10","business-entrepreneurship","অধ্যায় ১: ব্যবসায় পরিচিতি","ব্যবসায়ের ধারণা ও সংজ্ঞা","","ব্যবসায়ের ধারণা ও সংজ্ঞা"
"9-10","business-entrepreneurship","অধ্যায় ১: ব্যবসায় পরিচিতি","ব্যবসায়ের উৎপত্তি ও ক্রমবিকাশ","","ব্যবসায়ের উৎপত্তি ও ক্রমবিকাশ"
"9-10","business-entrepreneurship","অধ্যায় ১: ব্যবসায় পরিচিতি","ব্যবসায়ের পরিধি","উৎপাদন, বিনিময়, পরিবহন","ব্যবসায়ের পরিধি (উৎপাদন, বিনিময়, পরিবহন)"
"9-10","business-entrepreneurship","অধ্যায় ১: ব্যবসায় পরিচিতি","ব্যবসায়ের বৈশিষ্ট্য","","ব্যবসায়ের বৈশিষ্ট্য"
"9-10","business-entrepreneurship","অধ্যায় ১: ব্যবসায় পরিচিতি","ব্যবসায়ের প্রকারভেদ","শিল্প, বাণিজ্য, সেবা, আর্থিক","ব্যবসায়ের প্রকারভেদ (শিল্প, বাণিজ্য, সেবা, আর্থিক)"
"9-10","business-entrepreneurship","অধ্যায় ১: ব্যবসায় পরিচিতি","ব্যবসায়ের গুরুত্ব","","ব্যবসায়ের গুরুত্ব"
"9-10","business-entrepreneurship","অধ্যায় ১: ব্যবসায় পরিচিতি","শিল্পের ধারণা ও প্রকারভেদ","লঘু, ভারী","শিল্পের ধারণা ও প্রকারভেদ (লঘু, ভারী)"
"9-10","business-entrepreneurship","অধ্যায় ১: ব্যবসায় পরিচিতি","বাণিজ্যের ধারণা ও প্রকারভেদ","অভ্যন্তরীণ, আন্তর্জাতিক","বাণিজ্যের ধারণা ও প্রকারভেদ (অভ্যন্তরীণ, আন্তর্জাতিক)"
"9-10","business-entrepreneurship","অধ্যায় ১: ব্যবসায় পরিচিতি","সেবার ধারণা ও প্রকারভেদ","প্রত্যক্ষ, পরোক্ষ","সেবার ধারণা ও প্রকারভেদ (প্রত্যক্ষ, পরোক্ষ)"
"9-10","business-entrepreneurship","অধ্যায় ১: ব্যবসায় পরিচিতি","ব্যবসায়ের পরিবেশ","অর্থনৈতিক, সামাজিক, প্রযুক্তিগত","ব্যবসায়ের পরিবেশ (অর্থনৈতিক, সামাজিক, প্রযুক্তিগত)"
"9-10","business-entrepreneurship","অধ্যায় ১: ব্যবসায় পরিচিতি","বাণিজ্যের বিভিন্ন উপাদানের ভূমিকা","","বাণিজ্যের বিভিন্ন উপাদানের ভূমিকা"
"9-10","business-entrepreneurship","অধ্যায় ২: ব্যবসায় উদ্যোগ ও উদ্যোক্তা","উদ্যোক্তার ধারণা ও সংজ্ঞা","","উদ্যোক্তার ধারণা ও সংজ্ঞা"
"9-10","business-entrepreneurship","অধ্যায় ২: ব্যবসায় উদ্যোগ ও উদ্যোক্তা","উদ্যোক্তার শ্রেণিবিভাগ","ব্যবসায়িক, সামাজিক, শিল্প উদ্যোক্তা","উদ্যোক্তার শ্রেণিবিভাগ (ব্যবসায়িক, সামাজিক, শিল্প উদ্যোক্তা)"
"9-10","business-entrepreneurship","অধ্যায় ২: ব্যবসায় উদ্যোগ ও উদ্যোক্তা","উদ্যোক্তার বৈশিষ্ট্য","","উদ্যোক্তার বৈশিষ্ট্য"
"9-10","business-entrepreneurship","অধ্যায় ২: ব্যবসায় উদ্যোগ ও উদ্যোক্তা","উদ্যোক্তার গুরুত্ব","রোজগার সৃষ্টি, উদ্ভাবন, অর্থনৈতিক উন্নয়ন","উদ্যোক্তার গুরুত্ব (রোজগার সৃষ্টি, উদ্ভাবন, অর্থনৈতিক উন্নয়ন)"
"9-10","business-entrepreneurship","অধ্যায় ২: ব্যবসায় উদ্যোগ ও উদ্যোক্তা","বাংলাদেশের উদ্যোক্তাদের অবদান","","বাংলাদেশের উদ্যোক্তাদের অবদান"
"9-10","business-entrepreneurship","অধ্যায় ২: ব্যবসায় উদ্যোগ ও উদ্যোক্তা","উদ্যোক্তা হওয়ার শর্ত ও প্রয়োজনীয়তা","","উদ্যোক্তা হওয়ার শর্ত ও প্রয়োজনীয়তা"
"9-10","business-entrepreneurship","অধ্যায় ২: ব্যবসায় উদ্যোগ ও উদ্যোক্তা","উদ্যোক্তা ও কর্মচারীর পার্থক্য","","উদ্যোক্তা ও কর্মচারীর পার্থক্য"
"9-10","business-entrepreneurship","অধ্যায় ৩: আর্থিক সংস্থান","আর্থিক সংস্থানের ধারণা ও সংজ্ঞা","","আর্থিক সংস্থানের ধারণা ও সংজ্ঞা"
"9-10","business-entrepreneurship","অধ্যায় ৩: আর্থিক সংস্থান","আর্থিক সংস্থানের প্রয়োজনীয়তা","","আর্থিক সংস্থানের প্রয়োজনীয়তা"
"9-10","business-entrepreneurship","অধ্যায় ৩: আর্থিক সংস্থান","ইকুইটি পরিবেশন","সাধারণ শেয়ার, প্রাধিকার শেয়ার","ইকুইটি পরিবেশন (সাধারণ শেয়ার, প্রাধিকার শেয়ার)"
"9-10","business-entrepreneurship","অধ্যায় ৩: আর্থিক সংস্থান","ডেব্ট পরিবেশন","ঋণপত্র, ব্যাংক ঋণ","ডেব্ট পরিবেশন (ঋণপত্র, ব্যাংক ঋণ)"
"9-10","business-entrepreneurship","অধ্যায় ৩: আর্থিক সংস্থান","ইকুইটি ও ডেব্টের তারতম্য","","ইকুইটি ও ডেব্টের তারতম্য"
"9-10","business-entrepreneurship","অধ্যায় ৩: আর্থিক সংস্থান","আর্থিক সংস্থানের মিশ্র পদ্ধতি","","আর্থিক সংস্থানের মিশ্র পদ্ধতি"
"9-10","business-entrepreneurship","অধ্যায় ৩: আর্থিক সংস্থান","ঋণ ও সংশ্লিষ্ট আইনবিধি","","ঋণ ও সংশ্লিষ্ট আইনবিধি"
"9-10","business-entrepreneurship","অধ্যায় ৪: মালিকানার ভিত্তিতে ব্যবসায়","একক মালিকানা","সংজ্ঞা, বৈশিষ্ট্য, সুবিধা, সীমাবদ্ধতা","একক মালিকানা (সংজ্ঞা, বৈশিষ্ট্য, সুবিধা, সীমাবদ্ধতা)"
"9-10","business-entrepreneurship","অধ্যায় ৪: মালিকানার ভিত্তিতে ব্যবসায়","অংশীদারি ব্যবসা","সংজ্ঞা, বৈশিষ্ট্য, সুবিধা, সীমাবদ্ধতা","অংশীদারি ব্যবসা (সংজ্ঞা, বৈশিষ্ট্য, সুবিধা, সীমাবদ্ধতা)"
"9-10","business-entrepreneurship","অধ্যায় ৪: মালিকানার ভিত্তিতে ব্যবসায়","কর্পোরেশন","সংজ্ঞা, বৈশিষ্ট্য, সুবিধা, সীমাবদ্ধতা","কর্পোরেশন (সংজ্ঞা, বৈশিষ্ট্য, সুবিধা, সীমাবদ্ধতা)"
"9-10","business-entrepreneurship","অধ্যায় ৪: মালিকানার ভিত্তিতে ব্যবসায়","কর্পোরেশনের গঠন","প্রতিষ্ঠাতা, পরিচালক, শেয়ারহোল্ডার","কর্পোরেশনের গঠন (প্রতিষ্ঠাতা, পরিচালক, শেয়ারহোল্ডার)"
