"grade","subject","chapter","topic","scope_note","topic_raw"
"9-10","finance-and-banking","অধ্যায় ১: অর্থায়ন ও ব্যবসায় অর্থায়ন","অর্থায়নের ধারণা ও সংজ্ঞা","","অর্থায়নের ধারণা ও সংজ্ঞা"
"9-10","finance-and-banking","অধ্যায় ১: অর্থায়ন ও ব্যবসায় অর্থায়ন","অর্থায়নের ক্রমবিকাশ","প্রাচীন থেকে আধুনিক","অর্থায়নের ক্রমবিকাশ (প্রাচীন থেকে আধুনিক)"
"9-10","finance-and-banking","অধ্যায় ১: অর্থায়ন ও ব্যবসায় অর্থায়ন","সরকারি অর্থায়ন","","সরকারি অর্থায়ন"
"9-10","finance-and-banking","অধ্যায় ১: অর্থায়ন ও ব্যবসায় অর্থায়ন","পরিবারিক অর্থায়ন","","পরিবারিক অর্থায়ন"
"9-10","finance-and-banking","অধ্যায় ১: অর্থায়ন ও ব্যবসায় অর্থায়ন","আন্তর্জাতিক অর্থায়ন","","আন্তর্জাতিক অর্থায়ন"
"9-10","finance-and-banking","অধ্যায় ১: অর্থায়ন ও ব্যবসায় অর্থায়ন","অব্যবসায়ী প্রতিষ্ঠানের অর্থসংস্থান","","অব্যবসায়ী প্রতিষ্ঠানের অর্থসংস্থান"
"9-10","finance-and-banking","অধ্যায় ১: অর্থায়ন ও ব্যবসায় অর্থায়ন","ব্যবসায় অর্থায়ন","একমালিকানা, অংশীদারি, কোম্পানি","ব্যবসায় অর্থায়ন (একমালিকানা, অংশীদারি, কোম্পানি)"
"9-10","finance-and-banking","অধ্যায় ১: অর্থায়ন ও ব্যবসায় অর্থায়ন","উপযুক্তার নীতি","চলতি মূলধন ও দীর্ঘমেয়াদি মূলধন","উপযুক্তার নীতি (চলতি মূলধন ও দীর্ঘমেয়াদি মূলধন)"
"9-10","finance-and-banking","অধ্যায় ১: অর্থায়ন ও ব্যবসায় অর্থায়ন","ব্যবসায়ের বৈচিত্র্য ও ঝুঁকি বন্টন নীতি","","ব্যবসায়ের বৈচিত্র্য ও ঝুঁকি বন্টন নীতি"
"9-10","finance-and-banking","অধ্যায় ১: অর্থায়ন ও ব্যবসায় অর্থায়ন","আর্থিক ব্যবস্থাপকের ভূমিকা ও কার্যাবলি","","আর্থিক ব্যবস্থাপকের ভূমিকা ও কার্যাবলি"
"9-10","finance-and-banking","অধ্যায় ২: অর্থায়নের উৎস","অর্থায়নের উৎসের ধারণা","","অর্থায়নের উৎসের ধারণা"
"9-10","finance-and-banking","অধ্যায় ২: অর্থায়নের উৎস","প্রাতিষ্ঠানিক উৎস","প্রাপ্য বিল বাতাকরণ, প্রদেয় বিল, স্বল্পমেয়াদি ব্যাংক ঋণ","প্রাতিষ্ঠানিক উৎস (প্রাপ্য বিল বাতাকরণ, প্রদেয় বিল, স্বল্পমেয়াদি ব্যাংক ঋণ)"
"9-10","finance-and-banking","অধ্যায় ২: অর্থায়নের উৎস","অপ্রাতিষ্ঠানিক উৎস","","অপ্রাতিষ্ঠানিক উৎস"
"9-10","finance-and-banking","অধ্যায় ২: অর্থায়নের উৎস","স্বল্পমেয়াদি অর্থায়ন","বৈদেশিক বাণিজ্য ঋণ, ব্যাংক কর্তৃক প্রদত্ত ঋণ","স্বল্পমেয়াদি অর্থায়ন (বৈদেশিক বাণিজ্য ঋণ, ব্যাংক কর্তৃক প্রদত্ত ঋণ)"
"9-10","finance-and-banking","অধ্যায় ২: অর্থায়নের উৎস","মধ্যমেয়াদি অর্থায়ন","পরিশোধযোগ্য ঋণ, ডিবেঞ্চার","মধ্যমেয়াদি অর্থায়ন (পরিশোধযোগ্য ঋণ, ডিবেঞ্চার)"
"9-10","finance-and-banking","অধ্যায় ২: অর্থায়নের উৎস","দীর্ঘমেয়াদি অর্থায়ন","শেয়ার ইস্যু, দীর্ঘমেয়াদি ঋণ, বন্ড","দীর্ঘমেয়াদি অর্থায়ন (শেয়ার ইস্যু, দীর্ঘমেয়াদি ঋণ, বন্ড)"
"9-10","finance-and-banking","অধ্যায় ২: অর্থায়নের উৎস","ব্যবসায় সংগঠন ভেদে অর্থায়নের উপযুক্ত উৎস","","ব্যবসায় সংগঠন ভেদে অর্থায়নের উপযুক্ত উৎস"
"9-10","finance-and-banking","অধ্যায় ২: অর্থায়নের উৎস","ঋণগ্রহণের শর্তাবলি ও জামানতের অপ্রতুলতা","","ঋণগ্রহণের শর্তাবলি ও জামানতের অপ্রতুলতা"
"9-10","finance-and-banking","অধ্যায় ২: অর্থায়নের উৎস","অর্থায়নের প্রয়োজনের ধরন অনুযায়ী উৎস নির্বাচন","","অর্থায়নের প্রয়োজনের ধরন অনুযায়ী উৎস নির্বাচন"
