"grade","subject","chapter","topic","scope_note","topic_raw"
"9-10","ict","অধ্যায় ১: তথ্য ও যোগাযোগ প্রযুক্তি ও আমাদের বাংলাদেশ","তথ্য ও যোগাযোগ প্রযুক্তির ধারণা ও গুরুত্ব","","তথ্য ও যোগাযোগ প্রযুক্তির ধারণা ও গুরুত্ব"
"9-10","ict","অধ্যায় ১: তথ্য ও যোগাযোগ প্রযুক্তি ও আমাদের বাংলাদেশ","তথ্য ও যোগাযোগ প্রযুক্তি সংশ্লিষ্ট ব্যক্তিবর্গের অবদান","","তথ্য ও যোগাযোগ প্রযুক্তি সংশ্লিষ্ট ব্যক্তিবর্গের অবদান"
"9-10","ict","অধ্যায় ১: তথ্য ও যোগাযোগ প্রযুক্তি ও আমাদের বাংলাদেশ","ই-লার্নিং","ডিজিটাল শিক্ষা, মোবাইল শিক্ষা, ভিডিও কনফারেন্সিং","ই-লার্নিং (ডিজিটাল শিক্ষা, মোবাইল শিক্ষা, ভিডিও কনফারেন্সিং)"
"9-10","ict","অধ্যায় ১: তথ্য ও যোগাযোগ প্রযুক্তি ও আমাদের বাংলাদেশ","ই-গভর্নেন্স","সরকারি সেবায় প্রযুক্তি, নাগরিক সেবা","ই-গভর্নেন্স (সরকারি সেবায় প্রযুক্তি, নাগরিক সেবা)"
"9-10","ict","অধ্যায় ১: তথ্য ও যোগাযোগ প্রযুক্তি ও আমাদের বাংলাদেশ","ই-সার্ভিস","মোবাইল ব্যাংকিং, অনলাইন বিল পরিশোধ, ই-টিকেটিং","ই-সার্ভিস (মোবাইল ব্যাংকিং, অনলাইন বিল পরিশোধ, ই-টিকেটিং)"
"9-10","ict","অধ্যায় ১: তথ্য ও যোগাযোগ প্রযুক্তি ও আমাদের বাংলাদেশ","ই-কমার্স","অনলাইন বাণিজ্য, শপিং, পেমেন্ট সিস্টেম","ই-কমার্স (অনলাইন বাণিজ্য, শপিং, পেমেন্ট সিস্টেম)"
"9-10","ict","অধ্যায় ১: তথ্য ও যোগাযোগ প্রযুক্তি ও আমাদের বাংলাদেশ","কর্মক্ষেত্রে তথ্য ও যোগাযোগ প্রযুক্তির সম্ভাবনা","","কর্মক্ষেত্রে তথ্য ও যোগাযোগ প্রযুক্তির সম্ভাবনা"
"9-10","ict","অধ্যায় ১: তথ্য ও যোগাযোগ প্রযুক্তি ও আমাদের বাংলাদেশ","সামাজিক যোগাযোগে তথ্য ও যোগাযোগ প্রযুক্তির ভূমিকা","","সামাজিক যোগাযোগে তথ্য ও যোগাযোগ প্রযুক্তির ভূমিকা"
"9-10","ict","অধ্যায় ১: তথ্য ও যোগাযোগ প্রযুক্তি ও আমাদের বাংলাদেশ","বিনোদনে তথ্য ও যোগাযোগ প্রযুক্তির ইতিবাচক দিক","","বিনোদনে তথ্য ও যোগাযোগ প্রযুক্তির ইতিবাচক দিক"
"9-10","ict","অধ্যায় ১: তথ্য ও যোগাযোগ প্রযুক্তি ও আমাদের বাংলাদেশ","তথ্য ও যোগাযোগ প্রযুক্তিনির্ভর বাংলাদেশের ভবিষ্যৎ","","তথ্য ও যোগাযোগ প্রযুক্তিনির্ভর বাংলাদেশের ভবিষ্যৎ"
"9-10","ict","অধ্যায় ২: কম্পিউটার রক্ষণাবেক্ষণ ও সাইবার নিরাপত্তা","কম্পিউটারের হার্ডওয়্যার","ধারণা, প্রকারভেদ","কম্পিউটারের হার্ডওয়্যার (ধারণা, প্রকারভেদ)"
"9-10","ict","অধ্যায় ২: কম্পিউটার রক্ষণাবেক্ষণ ও সাইবার নিরাপত্তা","কম্পিউটারের সফটওয়্যার","ধারণা, প্রকারভেদ","কম্পিউটারের সফটওয়্যার (ধারণা, প্রকারভেদ)"
"9-10","ict","অধ্যায় ২: কম্পিউটার রক্ষণাবেক্ষণ ও সাইবার নিরাপত্তা","কম্পিউটারের হার্ডওয়্যার ও সফটওয়্যারের পরস্পরসম্পর্ক","","কম্পিউটারের হার্ডওয়্যার ও সফটওয়্যারের পরস্পরসম্পর্ক"
"9-10","ict","অধ্যায় ২: কম্পিউটার রক্ষণাবেক্ষণ ও সাইবার নিরাপত্তা","কম্পিউটারের হার্ডওয়্যার ও সফটওয়্যারের বৈশিষ্ট্য ও গুরুত্ব","","কম্পিউটারের হার্ডওয়্যার ও সফটওয়্যারের বৈশিষ্ট্য ও গুরুত্ব"
"9-10","ict","অধ্যায় ২: কম্পিউটার রক্ষণাবেক্ষণ ও সাইবার নিরাপত্তা","কম্পিউটার নেটওয়ার্ক","ধারণা, প্রকারভেদ - LAN, WAN","কম্পিউটার নেটওয়ার্ক (ধারণা, প্রকারভেদ - LAN, WAN)"
"9-10","ict","অধ্যায় ২: কম্পিউটার রক্ষণাবেক্ষণ ও সাইবার নিরাপত্তা","কম্পিউটার নেটওয়ার্কের বৈশিষ্ট্য ও গুরুত্ব","","কম্পিউটার নেটওয়ার্কের বৈশিষ্ট্য ও গুরুত্ব"
"9-10","ict","অধ্যায় ২: কম্পিউটার রক্ষণাবেক্ষণ ও সাইবার নিরাপত্তা","ইন্টারনেট","ধারণা, সুবিধা, অসুবিধা, প্রয়োগ","ইন্টারনেট (ধারণা, সুবিধা, অসুবিধা, প্রয়োগ)"
"9-10","ict","অধ্যায় ২: কম্পিউটার রক্ষণাবেক্ষণ ও সাইবার নিরাপত্তা","সাইবার নিরাপত্তা","ধারণা, সমস্যা, প্রতিরোধের উপায়","সাইবার নিরাপত্তা (ধারণা, সমস্যা, প্রতিরোধের উপায়)"
"9-10","ict","অধ্যায় ২: কম্পিউটার রক্ষণাবেক্ষণ ও সাইবার নিরাপত্তা","সাইবার অপরাধের প্রকারভেদ ও প্রতিরোধ","","সাইবার অপরাধের প্রকারভেদ ও প্রতিরোধ"
"9-10","ict","অধ্যায় ২: কম্পিউটার রক্ষণাবেক্ষণ ও সাইবার নিরাপত্তা","কম্পিউটারের ব্যবহারে নীতিমালা","","কম্পিউটারের ব্যবহারে নীতিমালা"
"9-10","ict","অধ্যায় ২: কম্পিউটার রক্ষণাবেক্ষণ ও সাইবার নিরাপত্তা","কম্পিউটার রক্ষণাবেক্ষণ","তথ্য ব্যাকআপ, ভাইরাস প্রতিরোধ","কম্পিউটার রক্ষণাবেক্ষণ (তথ্য ব্যাকআপ, ভাইরাস প্রতিরোধ)"
"9-10","ict","অধ্যায় ৩: ইন্টারনেট ও ওয়েব পরিচিতি","ইন্টারনেটের ধারণা ও সুবিধা-অসুবিধা","","ইন্টারনেটের ধারণা ও সুবিধা-অসুবিধা"
"9-10","ict","অধ্যায় ৩: ইন্টারনেট ও ওয়েব পরিচিতি","ইন্টারনেটের প্রয়োগ","ই-মেইল, সার্চ ইঞ্জিন, ডাউনলোড","ইন্টারনেটের প্রয়োগ (ই-মেইল, সার্চ ইঞ্জিন, ডাউনলোড)"
"9-10","ict","অধ্যায় ৩: ইন্টারনেট ও ওয়েব পরিচিতি","ওয়েবের ধারণা ও প্রকারভেদ","","ওয়েবের ধারণা ও প্রকারভেদ"
"9-10","ict","অধ্যায় ৩: ইন্টারনেট ও ওয়েব পরিচিতি","ওয়েবের বৈশিষ্ট্য ও গুরুত্ব","","ওয়েবের বৈশিষ্ট্য ও গুরুত্ব"
"9-10","ict","অধ্যায় ৩: ইন্টারনেট ও ওয়েব পরিচিতি","ওয়েবসাইটের ধারণা ও প্রকারভেদ","","ওয়েবসাইটের ধারণা ও প্রকারভেদ"
"9-10","ict","অধ্যায় ৩: ইন্টারনেট ও ওয়েব পরিচিতি","ওয়েবসাইটের বৈশিষ্ট্য ও গুরুত্ব","","ওয়েবসাইটের বৈশিষ্ট্য ও গুরুত্ব"
"9-10","ict","অধ্যায় ৩: ইন্টারনেট ও ওয়েব পরিচিতি","ওয়েবসাইট তৈরির পদ্ধতি ও প্রয়োজনীয়তা","","ওয়েবসাইট তৈরির পদ্ধতি ও প্রয়োজনীয়তা"
"9-10","ict","অধ্যায় ৩: ইন্টারনেট ও ওয়েব পরিচিতি","ওয়েব ব্রাউজারের ধারণা ও ব্যবহার","","ওয়েব ব্রাউজারের ধারণা ও ব্যবহার"
"9-10","ict","অধ্যায় ৪: আমার লেখালেখি ও হিসাব","ওয়েব ব্রাউজার","ধারণা, প্রয়োগ, সুবিধা, অসুবিধা","ওয়েব ব্রাউজার (ধারণা, প্রয়োগ, সুবিধা, অসুবিধা)"
"9-10","ict","অধ্যায় ৪: আমার লেখালেখি ও হিসাব","ওয়েব ব্রাউজারের বৈশিষ্ট্য ও গুরুত্ব","","ওয়েব ব্রাউজারের বৈশিষ্ট্য ও গুরুত্ব"
"9-10","ict","অধ্যায় ৪: আমার লেখালেখি ও হিসাব","ওয়েব ব্রাউজারের প্রকারভেদ","","ওয়েব ব্রাউজারের প্রকারভেদ"
"9-10","ict","অধ্যায় ৪: আমার লেখালেখি ও হিসাব","ই-মেইল","ধারণা, সুবিধা, অসুবিধা, ব্যবহার","ই-মেইল (ধারণা, সুবিধা, অসুবিধা, ব্যবহার)"
"9-10","ict","অধ্যায় ৪: আমার লেখালেখি ও হিসাব","ই-মেইলের গুরুত্ব ও প্রয়োগ","","ই-মেইলের গুরুত্ব ও প্রয়োগ"
"9-10","ict","অধ্যায় ৪: আমার লেখালেখি ও হিসাব","ই-মেইলের বৈশিষ্ট্য ও প্রকারভেদ","","ই-মেইলের বৈশিষ্ট্য ও প্রকারভেদ"
"9-10","ict","অধ্যায় ৪: আমার লেখালেখি ও হিসাব","ই-মেইল অ্যাকাউন্ট তৈরি ও ব্যবহারের পদ্ধতি","","ই-মেইল অ্যাকাউন্ট তৈরি ও ব্যবহারের পদ্ধতি"
"9-10","ict","অধ্যায় ৫: মাল্টিমিডিয়া ও গ্রাফিক্স","মাল্টিমিডিয়ার ধারণা ও প্রকারভেদ","","মাল্টিমিডিয়ার ধারণা ও প্রকারভেদ"
"9-10","ict","অধ্যায় ৫: মাল্টিমিডিয়া ও গ্রাফিক্স","মাল্টিমিডিয়ার বৈশিষ্ট্য ও গুরুত্ব","","মাল্টিমিডিয়ার বৈশিষ্ট্য ও গুরুত্ব"
"9-10","ict","অধ্যায় ৫: মাল্টিমিডিয়া ও গ্রাফিক্স","গ্রাফিক্সের ধারণা ও প্রকারভেদ","","গ্রাফিক্সের ধারণা ও প্রকারভেদ"
"9-10","ict","অধ্যায় ৫: মাল্টিমিডিয়া ও গ্রাফিক্স","গ্রাফিক্সের বৈশিষ্ট্য ও গুরুত্ব","","গ্রাফিক্সের বৈশিষ্ট্য ও গুরুত্ব"
"9-10","ict","অধ্যায় ৫: মাল্টিমিডিয়া ও গ্রাফিক্স","মাল্টিমিডিয়া ও গ্রাফিক্সের পার্থক্য ও সম্পর্ক","","মাল্টিমিডিয়া ও গ্রাফিক্সের পার্থক্য ও সম্পর্ক"
"9-10","ict","অধ্যায় ৫: মাল্টিমিডিয়া ও গ্রাফিক্স","মাল্টিমিডিয়া ও গ্রাফিক্সের প্রয়োগ","","মাল্টিমিডিয়া ও গ্রাফিক্সের প্রয়োগ"
