"grade","subject","chapter","topic","scope_note","topic_raw"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","খাদ্য ও পুষ্টি","","খাদ্য ও পুষ্টি"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","খাদ্যের উপাদান","প্রধান ও সহায়ক","খাদ্যের উপাদান (প্রধান ও সহায়ক)"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","শর্করা বা কার্বোহাইড্রেট","উদ্ভিজ্জ ও প্রাণিজ উৎস, পুষ্টিগত গুরুত্ব","শর্করা বা কার্বোহাইড্রেট (উদ্ভিজ্জ ও প্রাণিজ উৎস, পুষ্টিগত গুরুত্ব)"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","অ্যামিলোজ বা প্রোটিন","প্রাণিজ ও উদ্ভিজ্জ উৎস, অপরিহার্য অ্যামাইনো অম্লিড","অ্যামিলোজ বা প্রোটিন (প্রাণিজ ও উদ্ভিজ্জ উৎস, অপরিহার্য অ্যামাইনো অম্লিড)"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","স্নেহপদার্থ বা লিপিড","চর্বি ও তেল, প্রাণিজ ও উদ্ভিজ্জ উৎস, পুষ্টিগত গুরুত্ব","স্নেহপদার্থ বা লিপিড (চর্বি ও তেল, প্রাণিজ ও উদ্ভিজ্জ উৎস, পুষ্টিগত গুরুত্ব)"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","খাদ্যপ্রাণ বা ভিটামিন","স্নেহে দ্রবণীয় ও পানিতে দ্রবণীয়, উৎস ও অভাবজনিত রোগ","খাদ্যপ্রাণ বা ভিটামিন (স্নেহে দ্রবণীয় ও পানিতে দ্রবণীয়, উৎস ও অভাবজনিত রোগ)"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","ভিটামিন A, D, E, K ও ভিটামিন B কমপ্লেক্স, ভিটামিন C","","ভিটামিন A, D, E, K ও ভিটামিন B কমপ্লেক্স, ভিটামিন C"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","খনিজ পদার্থ ও পানি","লোহা, ক্যালসিয়াম, ফসফরাস, পানির গুরুত্ব","খনিজ পদার্থ ও পানি (লোহা, ক্যালসিয়াম, ফসফরাস, পানির গুরুত্ব)"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","রাফেজ বা আঁশ","কোষ্ঠকাঠিন্য প্রতিরোধে ভূমিকা","রাফেজ বা আঁশ (কোষ্ঠকাঠিন্য প্রতিরোধে ভূমিকা)"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","বডি মাস ইনডেক্স (BMI) — সূত্র ও শ্রেণিবিভাগ","","বডি মাস ইনডেক্স (BMI) — সূত্র ও শ্রেণিবিভাগ"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","দৈনিক খাবার কেমন হবে","","দৈনিক খাবার কেমন হবে"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","সুষম খাদ্য","ব্যালান্সড ডায়েট","সুষম খাদ্য (ব্যালান্সড ডায়েট)"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","সুষম খাদ্য পিরামিড","","সুষম খাদ্য পিরামিড"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","উন্নত জীবনযাপনের জন্য খাদ্য উপাদান বাছাই","","উন্নত জীবনযাপনের জন্য খাদ্য উপাদান বাছাই"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","ফাস্ট ফুড বা জাঙ্ক ফুড","ক্ষতিকর প্রভাব","ফাস্ট ফুড বা জাঙ্ক ফুড (ক্ষতিকর প্রভাব)"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","খাদ্য সংরক্ষণ","শুকনোকরণ, রেফ্রিজারেশন, ফ্রিজিং, সংরক্ষক দ্রবণ","খাদ্য সংরক্ষণ (শুকনোকরণ, রেফ্রিজারেশন, ফ্রিজিং, সংরক্ষক দ্রবণ)"
