"grade","subject","chapter","topic","scope_note","topic_raw"
"9-10","accounting","অধ্যায় ১: হিসাববিজ্ঞান পরিচিতি","হিসাববিজ্ঞানের সংজ্ঞা ও পরিভাষা","","হিসাববিজ্ঞানের সংজ্ঞা ও পরিভাষা"
"9-10","accounting","অধ্যায় ১: হিসাববিজ্ঞান পরিচিতি","ব্যবসায়িক হিসাববিজ্ঞানের উদ্দেশ্য ও প্রয়োজনীয়তা","","ব্যবসায়িক হিসাববিজ্ঞানের উদ্দেশ্য ও প্রয়োজনীয়তা"
"9-10","accounting","অধ্যায় ১: হিসাববিজ্ঞান পরিচিতি","হিসাববিজ্ঞানের উন্নয়ন ও লুকা পাশিওলি","","হিসাববিজ্ঞানের উন্নয়ন ও লুকা পাশিওলি"
"9-10","accounting","অধ্যায় ১: হিসাববিজ্ঞান পরিচিতি","অভ্যন্তরীণ ও বাহ্যিক তথ্য ব্যবহারকারী","","অভ্যন্তরীণ ও বাহ্যিক তথ্য ব্যবহারকারী"
"9-10","accounting","অধ্যায় ১: হিসাববিজ্ঞান পরিচিতি","মূল্যায়নে হিসাববিজ্ঞানের ভূমিকা","","মূল্যায়নে হিসাববিজ্ঞানের ভূমিকা"
"9-10","accounting","অধ্যায় ১: হিসাববিজ্ঞান পরিচিতি","সমাজ ও পরিবেশে হিসাববিজ্ঞান","","সমাজ ও পরিবেশে হিসাববিজ্ঞান"
"9-10","accounting","অধ্যায় ২: লেনদেন","লেনদেনের ধারণা","","লেনদেনের ধারণা"
"9-10","accounting","অধ্যায় ২: লেনদেন","লেনদেনের প্রকৃতি ও বৈশিষ্ট্য","","লেনদেনের প্রকৃতি ও বৈশিষ্ট্য"
"9-10","accounting","অধ্যায় ২: লেনদেন","হিসাব সমীকরণ","","হিসাব সমীকরণ"
"9-10","accounting","অধ্যায় ২: লেনদেন","হিসাব সমীকরণে ব্যবসায়িক লেনদেনের প্রভাব","","হিসাব সমীকরণে ব্যবসায়িক লেনদেনের প্রভাব"
"9-10","accounting","অধ্যায় ২: লেনদেন","লেনদেনের উৎস দলিলদি","চালান, ক্যাশমেমো, ডেবিট নোট, ক্রেডিট নোট, ভাউচার","লেনদেনের উৎস দলিলদি (চালান, ক্যাশমেমো, ডেবিট নোট, ক্রেডিট নোট, ভাউচার)"
"9-10","accounting","অধ্যায় ২: লেনদেন","লেনদেনের সমর্থনে প্রয়োজনীয় দলিলদি প্রস্তুতকরণ","","লেনদেনের সমর্থনে প্রয়োজনীয় দলিলদি প্রস্তুতকরণ"
"9-10","accounting","অধ্যায় ৩: দু তরফা দাখিলা পদ্ধতি","দ্বৈত সত্তা নীতি","","দ্বৈত সত্তা নীতি"
"9-10","accounting","অধ্যায় ৩: দু তরফা দাখিলা পদ্ধতি","দু তরফা দাখিলা পদ্ধতির সুবিধা","","দু তরফা দাখিলা পদ্ধতির সুবিধা"
"9-10","accounting","অধ্যায় ৩: দু তরফা দাখিলা পদ্ধতি","ডেবিট-ক্রেডিট নিয়মাবলি","","ডেবিট-ক্রেডিট নিয়মাবলি"
"9-10","accounting","অধ্যায় ৩: দু তরফা দাখিলা পদ্ধতি","হিসাবচক্রের ধাপ","","হিসাবচক্রের ধাপ"
"9-10","accounting","অধ্যায় ৩: দু তরফা দাখিলা পদ্ধতি","জার্নাল প্রস্তুতকরণ","","জার্নাল প্রস্তুতকরণ"
"9-10","accounting","অধ্যায় ৩: দু তরফা দাখিলা পদ্ধতি","একতরফা দাখিলার সীমাবদ্ধতা","","একতরফা দাখিলার সীমাবদ্ধতা"
