"grade","subject","chapter","topic"
"9-10","bgs","অধ্যায় ১: পূর্ব বাংলার আন্দোলন ও জাতীয়তাবাদের উথান (১৯৪৭-১৯৭০)","ভাষা-আন্দোলনের পটভূমি"
"9-10","bgs","অধ্যায় ১: পূর্ব বাংলার আন্দোলন ও জাতীয়তাবাদের উথান (১৯৪৭-১৯৭০)","রাষ্ট্রভাষা আন্দোলনের ঘটনাপ্রবাহ"
"9-10","bgs","অধ্যায় ১: পূর্ব বাংলার আন্দোলন ও জাতীয়তাবাদের উথান (১৯৪৭-১৯৭০)","ভাষাশহিদদের স্মরণ"
"9-10","bgs","অধ্যায় ১: পূর্ব বাংলার আন্দোলন ও জাতীয়তাবাদের উথান (১৯৪৭-১৯৭০)","আন্তর্জাতিক মাতৃভাষা দিবস"
"9-10","bgs","অধ্যায় ১: পূর্ব বাংলার আন্দোলন ও জাতীয়তাবাদের উথান (১৯৪৭-১৯৭০)","আওয়ামী মুসলিম লীগ গঠন"
"9-10","bgs","অধ্যায় ১: পূর্ব বাংলার আন্দোলন ও জাতীয়তাবাদের উথান (১৯৪৭-১৯৭০)","যুক্তফ্রন্ট গঠন ও সরকার"
"9-10","bgs","অধ্যায় ১: পূর্ব বাংলার আন্দোলন ও জাতীয়তাবাদের উথান (১৯৪৭-১৯৭০)","যুক্তফ্রন্টের ২১ দফা"
"9-10","bgs","অধ্যায় ১: পূর্ব বাংলার আন্দোলন ও জাতীয়তাবাদের উথান (১৯৪৭-১৯৭০)","আগরতলা ষড়যন্ত্র মামলা"
"9-10","bgs","অধ্যায় ১: পূর্ব বাংলার আন্দোলন ও জাতীয়তাবাদের উথান (১৯৪৭-১৯৭০)","১৯৬৯ সালের গণঅভ্যুত্থান"
"9-10","bgs","অধ্যায় ১: পূর্ব বাংলার আন্দোলন ও জাতীয়তাবাদের উথান (১৯৪৭-১৯৭০)","সামরিক শাসনের পটভূমি"
"9-10","bgs","অধ্যায় ১: পূর্ব বাংলার আন্দোলন ও জাতীয়তাবাদের উথান (১৯৪৭-১৯৭০)","৬ দফার পটভূমি ও নির্বাচন ১৯৭০"
"9-10","bgs","অধ্যায় ১: পূর্ব বাংলার আন্দোলন ও জাতীয়তাবাদের উথান (১৯৪৭-১৯৭০)","পূর্ব পাকিস্তানের প্রতি বৈষম্য"
"9-10","bgs","অধ্যায় ১: পূর্ব বাংলার আন্দোলন ও জাতীয়তাবাদের উথান (১৯৪৭-১৯৭০)","মুক্তিযুদ্ধের প্রস্তুতি ও সমগ্র মুক্তিযুদ্ধ"
"9-10","bgs","অধ্যায় ২: বাংলাদেশের স্বাধীনতা","মুক্তিযুদ্ধের প্রস্তুতি, সমগ্র মুক্তিযুদ্ধ ও স্বাধীন বাংলাদেশের অভ্যুদয়"
"9-10","bgs","অধ্যায় ২: বাংলাদেশের স্বাধীনতা","মুক্তিযুদ্ধের ঐতিহাসিক তাৎপর্য"
"9-10","bgs","অধ্যায় ২: বাংলাদেশের স্বাধীনতা","স্বাধীন বাংলাদেশে গণঅভ্যুত্থান"
"9-10","bgs","অধ্যায় ২: বাংলাদেশের স্বাধীনতা","জুলাই গণঅভ্যুত্থানের উল্লেখযোগ্য দিক"
"9-10","bgs","অধ্যায় ২: বাংলাদেশের স্বাধীনতা","জুলাই গণঅভ্যুত্থানের সামাজিক দিক"
