"grade","subject","chapter","topic","scope_note","topic_raw"
"9-10","business-entrepreneurship","অধ্যায় ১: ব্যবসায় পরিচিতি","ব্যবসায়ের ধারণা","","ব্যবসায়ের ধারণা"
"9-10","business-entrepreneurship","অধ্যায় ১: ব্যবসায় পরিচিতি","ব্যবসায়ের উৎপত্তি ও ক্রমবিকাশ","","ব্যবসায়ের উৎপত্তি ও ক্রমবিকাশ"
"9-10","business-entrepreneurship","অধ্যায় ১: ব্যবসায় পরিচিতি","ব্যবসায়ের পরিধি ও শ্রেণিবিভাগ","","ব্যবসায়ের পরিধি ও শ্রেণিবিভাগ"
"9-10","business-entrepreneurship","অধ্যায় ১: ব্যবসায় পরিচিতি","ব্যবসায়ের বৈশিষ্ট্য","","ব্যবসায়ের বৈশিষ্ট্য"
"9-10","business-entrepreneurship","অধ্যায় ১: ব্যবসায় পরিচিতি","ব্যবসায়ের গুরুত্ব","","ব্যবসায়ের গুরুত্ব"
"9-10","business-entrepreneurship","অধ্যায় ১: ব্যবসায় পরিচিতি","ব্যবসায়ের প্রকারভেদ","","ব্যবসায়ের প্রকারভেদ"
"9-10","business-entrepreneurship","অধ্যায় ১: ব্যবসায় পরিচিতি","শিল্পের ধারণা ও প্রকারভেদ","প্রজনন, নিষ্কাশন, নির্মাণ, উৎপাদন, সেবা","শিল্পের ধারণা ও প্রকারভেদ (প্রজনন, নিষ্কাশন, নির্মাণ, উৎপাদন, সেবা)"
"9-10","business-entrepreneurship","অধ্যায় ১: ব্যবসায় পরিচিতি","বাণিজ্যের ধারণা ও প্রকারভেদ","পরিবহন, গুদামজাতকরণ, ব্যাংকিং, বীমা, বিজ্ঞাপন","বাণিজ্যের ধারণা ও প্রকারভেদ (পরিবহন, গুদামজাতকরণ, ব্যাংকিং, বীমা, বিজ্ঞাপন)"
"9-10","business-entrepreneurship","অধ্যায় ১: ব্যবসায় পরিচিতি","প্রত্যক্ষ সেবা","","প্রত্যক্ষ সেবা"
"9-10","business-entrepreneurship","অধ্যায় ১: ব্যবসায় পরিচিতি","ব্যবসায়িক পরিবেশ","প্রাকৃতিক, অর্থনৈতিক, রাজনৈতিক, সামাজিক, আইনগত, প্রযুক্তিগত","ব্যবসায়িক পরিবেশ (প্রাকৃতিক, অর্থনৈতিক, রাজনৈতিক, সামাজিক, আইনগত, প্রযুক্তিগত)"
