"grade","subject","chapter","topic","scope_note","topic_raw"
"9-10","finance-and-banking","অধ্যায় ১: অর্থায়ন ও ব্যবসায় অর্থায়ন","অর্থায়নের ধারণা","","অর্থায়নের ধারণা"
"9-10","finance-and-banking","অধ্যায় ১: অর্থায়ন ও ব্যবসায় অর্থায়ন","অর্থায়নের ক্রমবিকাশের ধারা","","অর্থায়নের ক্রমবিকাশের ধারা"
"9-10","finance-and-banking","অধ্যায় ১: অর্থায়ন ও ব্যবসায় অর্থায়ন","পারিবারিক, সরকারি ও আন্তর্জাতিক অর্থায়ন","","পারিবারিক, সরকারি ও আন্তর্জাতিক অর্থায়ন"
"9-10","finance-and-banking","অধ্যায় ১: অর্থায়ন ও ব্যবসায় অর্থায়ন","অব্যবসায়ী প্রতিষ্ঠানের অর্থসংস্থান","","অব্যবসায়ী প্রতিষ্ঠানের অর্থসংস্থান"
"9-10","finance-and-banking","অধ্যায় ১: অর্থায়ন ও ব্যবসায় অর্থায়ন","ব্যবসায় অর্থায়নের ধারণা ও গুরুত্ব","","ব্যবসায় অর্থায়নের ধারণা ও গুরুত্ব"
"9-10","finance-and-banking","অধ্যায় ১: অর্থায়ন ও ব্যবসায় অর্থায়ন","তারল্য বনাম মুনাফা নীতি","","তারল্য বনাম মুনাফা নীতি"
"9-10","finance-and-banking","অধ্যায় ১: অর্থায়ন ও ব্যবসায় অর্থায়ন","অর্থায়নের উপযুক্ততার নীতি","","অর্থায়নের উপযুক্ততার নীতি"
"9-10","finance-and-banking","অধ্যায় ১: অর্থায়ন ও ব্যবসায় অর্থায়ন","ব্যবসায়ের বৈচিত্র্যায়ণ ও ঝুঁকি বণ্টন নীতি","","ব্যবসায়ের বৈচিত্র্যায়ণ ও ঝুঁকি বণ্টন নীতি"
"9-10","finance-and-banking","অধ্যায় ১: অর্থায়ন ও ব্যবসায় অর্থায়ন","আর্থিক ব্যবস্থাপকের অর্থায়ন সিদ্ধান্ত","","আর্থিক ব্যবস্থাপকের অর্থায়ন সিদ্ধান্ত"
"9-10","finance-and-banking","অধ্যায় ১: অর্থায়ন ও ব্যবসায় অর্থায়ন","আর্থিক ব্যবস্থাপকের বিনিয়োগ সিদ্ধান্ত","","আর্থিক ব্যবস্থাপকের বিনিয়োগ সিদ্ধান্ত"
"9-10","finance-and-banking","অধ্যায় ২: অর্থায়নের উৎস","অর্থায়নের উৎসের শ্রেণিবিভাগ","","অর্থায়নের উৎসের শ্রেণিবিভাগ"
"9-10","finance-and-banking","অধ্যায় ২: অর্থায়নের উৎস","অর্থায়নের অভ্যন্তরীণ উৎস","","অর্থায়নের অভ্যন্তরীণ উৎস"
"9-10","finance-and-banking","অধ্যায় ২: অর্থায়নের উৎস","অবণ্টিত মুনাফা, সঞ্চিতি তহবিল ও লভ্যাংশ সমতাকরণ তহবিল","","অবণ্টিত মুনাফা, সঞ্চিতি তহবিল ও লভ্যাংশ সমতাকরণ তহবিল"
"9-10","finance-and-banking","অধ্যায় ২: অর্থায়নের উৎস","স্বল্পমেয়াদি অর্থায়নের প্রাতিষ্ঠানিক উৎস","","স্বল্পমেয়াদি অর্থায়নের প্রাতিষ্ঠানিক উৎস"
"9-10","finance-and-banking","অধ্যায় ২: অর্থায়নের উৎস","স্বল্পমেয়াদি অর্থায়নের অপ্রাতিষ্ঠানিক উৎস","","স্বল্পমেয়াদি অর্থায়নের অপ্রাতিষ্ঠানিক উৎস"
"9-10","finance-and-banking","অধ্যায় ২: অর্থায়নের উৎস","প্রাপ্য বিল বাট্টাকরণ","","প্রাপ্য বিল বাট্টাকরণ"
"9-10","finance-and-banking","অধ্যায় ২: অর্থায়নের উৎস","মধ্যমেয়াদি অর্থায়নের উৎস","","মধ্যমেয়াদি অর্থায়নের উৎস"
"9-10","finance-and-banking","অধ্যায় ২: অর্থায়নের উৎস","দীর্ঘমেয়াদি অর্থায়নের উৎস","","দীর্ঘমেয়াদি অর্থায়নের উৎস"
"9-10","finance-and-banking","অধ্যায় ২: অর্থায়নের উৎস","লিজিং বা ইজারা অর্থায়ন","","লিজিং বা ইজারা অর্থায়ন"
"9-10","finance-and-banking","অধ্যায় ২: অর্থায়নের উৎস","অর্থায়নের উৎস নির্বাচনে বিবেচ্য বিষয়","","অর্থায়নের উৎস নির্বাচনে বিবেচ্য বিষয়"
"9-10","finance-and-banking","অধ্যায় ৩: শেয়ার, বন্ড ও ডিবেঞ্চার","শেয়ার, বন্ড ও ডিবেঞ্চারের ধারণা","","শেয়ার, বন্ড ও ডিবেঞ্চারের ধারণা"
"9-10","finance-and-banking","অধ্যায় ৩: শেয়ার, বন্ড ও ডিবেঞ্চার","সাধারণ শেয়ার","","সাধারণ শেয়ার"
"9-10","finance-and-banking","অধ্যায় ৩: শেয়ার, বন্ড ও ডিবেঞ্চার","অগ্রাধিকার শেয়ার","","অগ্রাধিকার শেয়ার"
"9-10","finance-and-banking","অধ্যায় ৩: শেয়ার, বন্ড ও ডিবেঞ্চার","বিলম্বিত, রাইট ও বোনাস শেয়ার","","বিলম্বিত, রাইট ও বোনাস শেয়ার"
"9-10","finance-and-banking","অধ্যায় ৩: শেয়ার, বন্ড ও ডিবেঞ্চার","সাধারণ ও অগ্রাধিকার শেয়ারের পার্থক্য","","সাধারণ ও অগ্রাধিকার শেয়ারের পার্থক্য"
"9-10","finance-and-banking","অধ্যায় ৩: শেয়ার, বন্ড ও ডিবেঞ্চার","বন্ডের বৈশিষ্ট্য, সুবিধা ও অসুবিধা","","বন্ডের বৈশিষ্ট্য, সুবিধা ও অসুবিধা"
"9-10","finance-and-banking","অধ্যায় ৩: শেয়ার, বন্ড ও ডিবেঞ্চার","ডিবেঞ্চারের বৈশিষ্ট্য, সুবিধা ও অসুবিধা","","ডিবেঞ্চারের বৈশিষ্ট্য, সুবিধা ও অসুবিধা"
"9-10","finance-and-banking","অধ্যায় ৩: শেয়ার, বন্ড ও ডিবেঞ্চার","বন্ড ও ডিবেঞ্চারের পার্থক্য","","বন্ড ও ডিবেঞ্চারের পার্থক্য"
"9-10","finance-and-banking","অধ্যায় ৩: শেয়ার, বন্ড ও ডিবেঞ্চার","বাংলাদেশের শেয়ারবাজার, স্টক এক্সচেঞ্জ ও সূচক","","বাংলাদেশের শেয়ারবাজার, স্টক এক্সচেঞ্জ ও সূচক"
"9-10","finance-and-banking","অধ্যায় ৩: শেয়ার, বন্ড ও ডিবেঞ্চার","প্রাথমিক ও সেকেন্ডারি বাজার","","প্রাথমিক ও সেকেন্ডারি বাজার"
"9-10","finance-and-banking","অধ্যায় ৩: শেয়ার, বন্ড ও ডিবেঞ্চার","লভ্যাংশ, লভ্যাংশের ধরন ও লভ্যাংশ নীতি","","লভ্যাংশ, লভ্যাংশের ধরন ও লভ্যাংশ নীতি"
