"grade","subject","chapter","topic","scope_note","topic_raw"
"9-10","ict","অধ্যায় ১: তথ্য ও যোগাযোগ প্রযুক্তি ও আমাদের বাংলাদেশ","তথ্য ও যোগাযোগ প্রযুক্তির ধারণা","","তথ্য ও যোগাযোগ প্রযুক্তির ধারণা"
"9-10","ict","অধ্যায় ১: তথ্য ও যোগাযোগ প্রযুক্তি ও আমাদের বাংলাদেশ","তথ্য ও যোগাযোগ প্রযুক্তির গুরুত্ব","","তথ্য ও যোগাযোগ প্রযুক্তির গুরুত্ব"
"9-10","ict","অধ্যায় ১: তথ্য ও যোগাযোগ প্রযুক্তি ও আমাদের বাংলাদেশ","দৈনন্দিন জীবনে তথ্য ও যোগাযোগ প্রযুক্তির ভূমিকা","","দৈনন্দিন জীবনে তথ্য ও যোগাযোগ প্রযুক্তির ভূমিকা"
"9-10","ict","অধ্যায় ১: তথ্য ও যোগাযোগ প্রযুক্তি ও আমাদের বাংলাদেশ","বাংলাদেশের ডিজিটাল অবকাঠামো","","বাংলাদেশের ডিজিটাল অবকাঠামো"
"9-10","ict","অধ্যায় ১: তথ্য ও যোগাযোগ প্রযুক্তি ও আমাদের বাংলাদেশ","বিভিন্ন খাতে তথ্য ও যোগাযোগ প্রযুক্তির প্রয়োগ","","বিভিন্ন খাতে তথ্য ও যোগাযোগ প্রযুক্তির প্রয়োগ"
"9-10","ict","অধ্যায় ১: তথ্য ও যোগাযোগ প্রযুক্তি ও আমাদের বাংলাদেশ","শিক্ষা, স্বাস্থ্য, বাণিজ্যসহ বিভিন্ন ক্ষেত্রে তথ্য ও যোগাযোগ প্রযুক্তির প্রয়োগ","","শিক্ষা, স্বাস্থ্য, বাণিজ্যসহ বিভিন্ন ক্ষেত্রে তথ্য ও যোগাযোগ প্রযুক্তির প্রয়োগ"
"9-10","ict","অধ্যায় ২: কম্পিউটার রক্ষণাবেক্ষণ ও সাইবার নিরাপত্তা","কম্পিউটার রক্ষণাবেক্ষণ","","কম্পিউটার রক্ষণাবেক্ষণ"
"9-10","ict","অধ্যায় ২: কম্পিউটার রক্ষণাবেক্ষণ ও সাইবার নিরাপত্তা","কম্পিউটারের হার্ডওয়্যার রক্ষণাবেক্ষণ","","কম্পিউটারের হার্ডওয়্যার রক্ষণাবেক্ষণ"
"9-10","ict","অধ্যায় ২: কম্পিউটার রক্ষণাবেক্ষণ ও সাইবার নিরাপত্তা","কম্পিউটারের সফটওয়্যার রক্ষণাবেক্ষণ","","কম্পিউটারের সফটওয়্যার রক্ষণাবেক্ষণ"
"9-10","ict","অধ্যায় ২: কম্পিউটার রক্ষণাবেক্ষণ ও সাইবার নিরাপত্তা","নেটওয়ার্ক নিরাপত্তা","","নেটওয়ার্ক নিরাপত্তা"
