"grade","subject","chapter","topic","scope_note","topic_raw"
"9-10","math","অধ্যায় ১: বাস্তব সংখ্যা","বাস্তব সংখ্যার শ্রেণিবিন্যাস","","বাস্তব সংখ্যার শ্রেণিবিন্যাস"
"9-10","math","অধ্যায় ১: বাস্তব সংখ্যা","বাস্তব সংখ্যার যোগ ও গুণ প্রক্রিয়ার মৌলিক বিধি","","বাস্তব সংখ্যার যোগ ও গুণ প্রক্রিয়ার মৌলিক বিধি"
"9-10","math","অধ্যায় ১: বাস্তব সংখ্যা","বাস্তব সংখ্যার অসমতা সংক্রান্ত বিধি","","বাস্তব সংখ্যার অসমতা সংক্রান্ত বিধি"
"9-10","math","অধ্যায় ১: বাস্তব সংখ্যা","দশমিক ভগ্নাংশের প্রকারভেদ","","দশমিক ভগ্নাংশের প্রকারভেদ"
"9-10","math","অধ্যায় ১: বাস্তব সংখ্যা","আবৃত্ত দশমিককে সাধারণ ভগ্নাংশে রূপান্তর","","আবৃত্ত দশমিককে সাধারণ ভগ্নাংশে রূপান্তর"
"9-10","math","অধ্যায় ১: বাস্তব সংখ্যা","সদৃশ ও অসদৃশ আবৃত্ত দশমিক","","সদৃশ ও অসদৃশ আবৃত্ত দশমিক"
"9-10","math","অধ্যায় ১: বাস্তব সংখ্যা","অসদৃশ আবৃত্ত দশমিককে সদৃশে রূপান্তর","","অসদৃশ আবৃত্ত দশমিককে সদৃশে রূপান্তর"
"9-10","math","অধ্যায় ১: বাস্তব সংখ্যা","আবৃত্ত দশমিক ভগ্নাংশের যোগ ও বিয়োগ","","আবৃত্ত দশমিক ভগ্নাংশের যোগ ও বিয়োগ"
"9-10","math","অধ্যায় ১: বাস্তব সংখ্যা","আবৃত্ত দশমিক ভগ্নাংশের গুণ ও ভাগ","","আবৃত্ত দশমিক ভগ্নাংশের গুণ ও ভাগ"
"9-10","math","অধ্যায় ১: বাস্তব সংখ্যা","অসীম দশমিক ভগ্নাংশ","","অসীম দশমিক ভগ্নাংশ"
"9-10","math","অধ্যায় ১: বাস্তব সংখ্যা","নির্দিষ্ট দশমিক স্থান পর্যন্ত মান","","নির্দিষ্ট দশমিক স্থান পর্যন্ত মান"
"9-10","math","অধ্যায় ১: বাস্তব সংখ্যা","নির্দিষ্ট দশমিক স্থান পর্যন্ত আসন্ন মান","","নির্দিষ্ট দশমিক স্থান পর্যন্ত আসন্ন মান"
"9-10","math","অধ্যায় ২: সেট ও ফাংশন","ফাংশনের ধারণা","","ফাংশনের ধারণা"
"9-10","math","অধ্যায় ২: সেট ও ফাংশন","ডোমেন ও রেঞ্জ","","ডোমেন ও রেঞ্জ"
"9-10","math","অধ্যায় ২: সেট ও ফাংশন","ফাংশনের লেখচিত্র","","ফাংশনের লেখচিত্র"
"9-10","math","অধ্যায় ২: সেট ও ফাংশন","ফাংশনের প্রয়োগ","","ফাংশনের প্রয়োগ"
"9-10","math","অধ্যায় ৩: বীজগাণিতিক রাশি","বর্গ সংশ্লিষ্ট সূত্রাবলি","","বর্গ সংশ্লিষ্ট সূত্রাবলি"
"9-10","math","অধ্যায় ৩: বীজগাণিতিক রাশি","ঘন সংশ্লিষ্ট সূত্রাবলি","","ঘন সংশ্লিষ্ট সূত্রাবলি"
"9-10","math","অধ্যায় ৩: বীজগাণিতিক রাশি","উৎপাদকে বিশ্লেষণ","","উৎপাদকে বিশ্লেষণ"
"9-10","math","অধ্যায় ৩: বীজগাণিতিক রাশি","ভাগশেষ উপপাদ্য","","ভাগশেষ উপপাদ্য"
"9-10","math","অধ্যায় ৩: বীজগাণিতিক রাশি","বাস্তব সমস্যা সমাধানে বীজগাণিতিক সূত্র গঠন ও প্রয়োগ","","বাস্তব সমস্যা সমাধানে বীজগাণিতিক সূত্র গঠন ও প্রয়োগ"
"9-10","math","অধ্যায় ৪: সূচক ও লগারিদম","সূচকের ধারণা","","সূচকের ধারণা"
"9-10","math","অধ্যায় ৪: সূচক ও লগারিদম","সূচকের সূত্রাবলি","","সূচকের সূত্রাবলি"
"9-10","math","অধ্যায় ৪: সূচক ও লগারিদম","শূন্য ও ঋণাত্মক সূচক","","শূন্য ও ঋণাত্মক সূচক"
"9-10","math","অধ্যায় ৪: সূচক ও লগারিদম","n তম মূল","","n তম মূল"
"9-10","math","অধ্যায় ৪: সূচক ও লগারিদম","লগারিদমের ধারণা","","লগারিদমের ধারণা"
"9-10","math","অধ্যায় ৪: সূচক ও লগারিদম","লগারিদমের সূত্রাবলি","","লগারিদমের সূত্রাবলি"
"9-10","math","অধ্যায় ৪: সূচক ও লগারিদম","সংখ্যার বৈজ্ঞানিক বা আদর্শ রূপ","","সংখ্যার বৈজ্ঞানিক বা আদর্শ রূপ"
"9-10","math","অধ্যায় ৪: সূচক ও লগারিদম","লগারিদম পদ্ধতি","","লগারিদম পদ্ধতি"
"9-10","math","অধ্যায় ৪: সূচক ও লগারিদম","সাধারণ লগের পূর্ণক ও অংশক","","সাধারণ লগের পূর্ণক ও অংশক"
"9-10","math","অধ্যায় ৫: এক চলকবিশিষ্ট সমীকরণ","চলকের ধারণা","","চলকের ধারণা"
"9-10","math","অধ্যায় ৫: এক চলকবিশিষ্ট সমীকরণ","সমীকরণের ঘাত","","সমীকরণের ঘাত"
"9-10","math","অধ্যায় ৫: এক চলকবিশিষ্ট সমীকরণ","সমীকরণ ও অভেদ","","সমীকরণ ও অভেদ"
"9-10","math","অধ্যায় ৫: এক চলকবিশিষ্ট সমীকরণ","একঘাত সমীকরণের সমাধান","","একঘাত সমীকরণের সমাধান"
"9-10","math","অধ্যায় ৫: এক চলকবিশিষ্ট সমীকরণ","একঘাত সমীকরণের ব্যবহার","","একঘাত সমীকরণের ব্যবহার"
"9-10","math","অধ্যায় ৫: এক চলকবিশিষ্ট সমীকরণ","এক চলকবিশিষ্ট দ্বিঘাত সমীকরণ","","এক চলকবিশিষ্ট দ্বিঘাত সমীকরণ"
"9-10","math","অধ্যায় ৫: এক চলকবিশিষ্ট সমীকরণ","দ্বিঘাত সমীকরণের সমাধান","","দ্বিঘাত সমীকরণের সমাধান"
"9-10","math","অধ্যায় ৫: এক চলকবিশিষ্ট সমীকরণ","দ্বিঘাত সমীকরণের ব্যবহার","","দ্বিঘাত সমীকরণের ব্যবহার"
"9-10","math","অধ্যায় ৬: রেখা, কোণ ও ত্রিভুজ","স্থান, তল, রেখা ও বিন্দুর ধারণা","","স্থান, তল, রেখা ও বিন্দুর ধারণা"
"9-10","math","অধ্যায় ৬: রেখা, কোণ ও ত্রিভুজ","ইউক্লিডের স্বীকার্য","","ইউক্লিডের স্বীকার্য"
"9-10","math","অধ্যায় ৬: রেখা, কোণ ও ত্রিভুজ","সমতল জ্যামিতি","","সমতল জ্যামিতি"
"9-10","math","অধ্যায় ৬: রেখা, কোণ ও ত্রিভুজ","গাণিতিক উক্তির প্রমাণ","","গাণিতিক উক্তির প্রমাণ"
"9-10","math","অধ্যায় ৬: রেখা, কোণ ও ত্রিভুজ","বিরোধ পদ্ধতি","","বিরোধ পদ্ধতি"
"9-10","math","অধ্যায় ৬: রেখা, কোণ ও ত্রিভুজ","রেখা, রশ্মি, রেখাংশ","","রেখা, রশ্মি, রেখাংশ"
"9-10","math","অধ্যায় ৬: রেখা, কোণ ও ত্রিভুজ","কোণের ধারণা","","কোণের ধারণা"
"9-10","math","অধ্যায় ৬: রেখা, কোণ ও ত্রিভুজ","সন্নিহিত কোণ","","সন্নিহিত কোণ"
"9-10","math","অধ্যায় ৬: রেখা, কোণ ও ত্রিভুজ","পূরক ও সম্পূরক কোণ","","পূরক ও সম্পূরক কোণ"
"9-10","math","অধ্যায় ৬: রেখা, কোণ ও ত্রিভুজ","বিপ্রতীপ কোণ","","বিপ্রতীপ কোণ"
"9-10","math","অধ্যায় ৬: রেখা, কোণ ও ত্রিভুজ","সমান্তরাল সরলরেখা","","সমান্তরাল সরলরেখা"
"9-10","math","অধ্যায় ৬: রেখা, কোণ ও ত্রিভুজ","ত্রিভুজের ধারণা","","ত্রিভুজের ধারণা"
"9-10","math","অধ্যায় ৬: রেখা, কোণ ও ত্রিভুজ","ত্রিভুজের বহিঃস্থ ও অন্তঃস্থ কোণ","","ত্রিভুজের বহিঃস্থ ও অন্তঃস্থ কোণ"
"9-10","math","অধ্যায় ৬: রেখা, কোণ ও ত্রিভুজ","ত্রিভুজের সর্বসমতা","","ত্রিভুজের সর্বসমতা"
