"grade","subject","chapter","topic","scope_note","topic_raw"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","খাদ্য ও পুষ্টি","","খাদ্য ও পুষ্টি"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","খাদ্যের উপাদান","","খাদ্যের উপাদান"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","শর্করা বা কার্বোহাইড্রেট","","শর্করা বা কার্বোহাইড্রেট"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","উদ্ভিজ্জ উৎস","","উদ্ভিজ্জ উৎস"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","প্রাণিজ উৎস","","প্রাণিজ উৎস"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","পুষ্টিগত গুরুত্ব","","পুষ্টিগত গুরুত্ব"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","আমিষ বা প্রোটিন","","আমিষ বা প্রোটিন"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","স্নেহ পদার্থ বা লিপিড","","স্নেহ পদার্থ বা লিপিড"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","স্নেহ পদার্থের কাজ","","স্নেহ পদার্থের কাজ"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","অভাবজনিত রোগ ও প্রতিকার","","অভাবজনিত রোগ ও প্রতিকার"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","খাদ্যপ্রাণ বা ভিটামিন","","খাদ্যপ্রাণ বা ভিটামিন"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","স্নেহে দ্রবণীয় ভিটামিন","","স্নেহে দ্রবণীয় ভিটামিন"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","ভিটামিন A","","ভিটামিন A"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","ভিটামিন D","","ভিটামিন D"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","ভিটামিন E","","ভিটামিন E"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","পানিতে দ্রবণীয় ভিটামিন","","পানিতে দ্রবণীয় ভিটামিন"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","ভিটামিন B কমপ্লেক্স","","ভিটামিন B কমপ্লেক্স"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","ভিটামিন C","অম্লকরবিক এসিড","ভিটামিন C (অম্লকরবিক এসিড)"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","খনিজ পদার্থ","","খনিজ পদার্থ"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","খনিজ পদার্থ এবং পানি","","খনিজ পদার্থ এবং পানি"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","লৌহ","Fe","লৌহ (Fe)"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","ক্যালসিয়াম","Ca","ক্যালসিয়াম (Ca)"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","ফসফরাস","P","ফসফরাস (P)"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","পানি","Water","পানি (Water)"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","শরীরে পানির উৎস","","শরীরে পানির উৎস"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","রাফেজ বা আঁশ","","রাফেজ বা আঁশ"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","রাফেজভুক্ত খাবারের গুরুত্ব","","রাফেজভুক্ত খাবারের গুরুত্ব"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","বডি মাস ইনডেক্স (BMI) বা দেহের ভরসূচি","","বডি মাস ইনডেক্স (BMI) বা দেহের ভরসূচি"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","দৈনিক খাবার কেমন হবে","","দৈনিক খাবার কেমন হবে"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","সুষম খাদ্য","","সুষম খাদ্য"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","সুষম খাদ্য যেভাবে প্রস্তুত করা হয়","","সুষম খাদ্য যেভাবে প্রস্তুত করা হয়"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","সুষম খাদ্য পিরামিড","","সুষম খাদ্য পিরামিড"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","উন্নত জীবনযাপনের জন্য খাদ্য উপাদান বাছাই","","উন্নত জীবনযাপনের জন্য খাদ্য উপাদান বাছাই"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","ফাস্ট ফুড বা জাঙ্ক ফুড","","ফাস্ট ফুড বা জাঙ্ক ফুড"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","খাদ্য সংরক্ষণ","","খাদ্য সংরক্ষণ"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","খাদ্য সংরক্ষণের বিভিন্ন পদ্ধতি","","খাদ্য সংরক্ষণের বিভিন্ন পদ্ধতি"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","খাদ্যদ্রব্য সংরক্ষণে রাসায়নিক পদার্থের ব্যবহার ও এর শারীরিক প্রতিক্রিয়া","","খাদ্যদ্রব্য সংরক্ষণে রাসায়নিক পদার্থের ব্যবহার ও এর শারীরিক প্রতিক্রিয়া"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","তামাক ও অন্যান্য মাদকদ্রব্য","","তামাক ও অন্যান্য মাদকদ্রব্য"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","ধূমপানের ক্ষতিকর দিক","","ধূমপানের ক্ষতিকর দিক"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","ধূমপান ও তামাকজাত পদার্থের ব্যবহার নিয়ন্ত্রণে প্রচেষ্টাসমূহ","","ধূমপান ও তামাকজাত পদার্থের ব্যবহার নিয়ন্ত্রণে প্রচেষ্টাসমূহ"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","মাদকাসক্তির লক্ষণ","","মাদকাসক্তির লক্ষণ"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","ড্রাগ আসক্তি নিয়ন্ত্রণ","","ড্রাগ আসক্তি নিয়ন্ত্রণ"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","এইডস","AIDS","এইডস (AIDS)"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","AIDS রোগের কারণ","","AIDS রোগের কারণ"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","স্বাস্থ্য রক্ষায় শরীরচর্চা","","স্বাস্থ্য রক্ষায় শরীরচর্চা"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","স্বাস্থ্য রক্ষায় শরীরচর্চা এবং বিশ্রাম","","স্বাস্থ্য রক্ষায় শরীরচর্চা এবং বিশ্রাম"
"9-10","science","অধ্যায় ১: উন্নততর জীবনধারা","মনের বিশ্রাম","","মনের বিশ্রাম"
"9-10","science","অধ্যায় ২: জীবনের জন্য পানি","পানির ধর্ম","","পানির ধর্ম"
"9-10","science","অধ্যায় ২: জীবনের জন্য পানি","গলনাঙ্ক ও স্ফুটনাঙ্ক","","গলনাঙ্ক ও স্ফুটনাঙ্ক"
"9-10","science","অধ্যায় ২: জীবনের জন্য পানি","বিদ্যুৎ বা তড়িৎ পরিবাহিতা","","বিদ্যুৎ বা তড়িৎ পরিবাহিতা"
"9-10","science","অধ্যায় ২: জীবনের জন্য পানি","পানির গঠন","","পানির গঠন"
"9-10","science","অধ্যায় ২: জীবনের জন্য পানি","পানির উৎস","","পানির উৎস"
"9-10","science","অধ্যায় ২: জীবনের জন্য পানি","বাংলাদেশে মিঠা পানির উৎস","","বাংলাদেশে মিঠা পানির উৎস"
