"grade","subject","chapter","topic","scope_note","topic_raw"
"9-10","geography","অধ্যায় ১: ভূগোল ও পরিবেশ","ভূগোলের ধারণা","","ভূগোলের ধারণা"
"9-10","geography","অধ্যায় ১: ভূগোল ও পরিবেশ","ভূগোলের পরিধি","","ভূগোলের পরিধি"
"9-10","geography","অধ্যায় ১: ভূগোল ও পরিবেশ","ভূগোলের শাখা","ভূমিরূপবিদ্যা, জলবায়ুবিদ্যা, জীবভূগোল, মৃত্তিকা ভূগোল, সমুদ্রবিদ্যা, অর্থনৈতিক ভূগোল, জনসংখ্যা ভূগোল, রাজনৈতিক ভূগোল, আঞ্চলিক ভূগোল, সংখ্যাতাত্ত্বিক ভূগোল, পরিবহন ভূগোল, নগর ভূগোল, চিকিৎসা ভূগোল, ভৌগোলিক তথ্য ব্যবস্থা, দুর্যোগ ব্যবস্থাপনা, সামাজিক ভূগোল","ভূগোলের শাখা (ভূমিরূপবিদ্যা, জলবায়ুবিদ্যা, জীবভূগোল, মৃত্তিকা ভূগোল, সমুদ্রবিদ্যা, অর্থনৈতিক ভূগোল, জনসংখ্যা ভূগোল, রাজনৈতিক ভূগোল, আঞ্চলিক ভূগোল, সংখ্যাতাত্ত্বিক ভূগোল, পরিবহন ভূগোল, নগর ভূগোল, চিকিৎসা ভূগোল, ভৌগোলিক তথ্য ব্যবস্থা, দুর্যোগ ব্যবস্থাপনা, সামাজিক ভূগোল)"
"9-10","geography","অধ্যায় ১: ভূগোল ও পরিবেশ","পরিবেশের ধারণা","","পরিবেশের ধারণা"
"9-10","geography","অধ্যায় ১: ভূগোল ও পরিবেশ","পরিবেশের উপাদান","জড় উপাদান, জীব উপাদান","পরিবেশের উপাদান (জড় উপাদান, জীব উপাদান)"
"9-10","geography","অধ্যায় ১: ভূগোল ও পরিবেশ","পরিবেশের প্রকারভেদ","ভৌত বা প্রাকৃতিক পরিবেশ, সামাজিক পরিবেশ","পরিবেশের প্রকারভেদ (ভৌত বা প্রাকৃতিক পরিবেশ, সামাজিক পরিবেশ)"
"9-10","geography","অধ্যায় ১: ভূগোল ও পরিবেশ","ভূগোল ও পরিবেশের আন্তঃসম্পর্ক","","ভূগোল ও পরিবেশের আন্তঃসম্পর্ক"
"9-10","geography","অধ্যায় ১: ভূগোল ও পরিবেশ","ভূগোল ও পরিবেশ পাঠের গুরুত্ব","","ভূগোল ও পরিবেশ পাঠের গুরুত্ব"
"9-10","geography","অধ্যায় ২: মহাবিশ্ব ও আমাদের পৃথিবী","মহাকাশ ও মহাবিশ্বের ধারণা","","মহাকাশ ও মহাবিশ্বের ধারণা"
"9-10","geography","অধ্যায় ২: মহাবিশ্ব ও আমাদের পৃথিবী","নক্ষত্র ও নক্ষত্রমণ্ডল","","নক্ষত্র ও নক্ষত্রমণ্ডল"
"9-10","geography","অধ্যায় ২: মহাবিশ্ব ও আমাদের পৃথিবী","সৌরজগতের ধারণা ও উৎপত্তি","","সৌরজগতের ধারণা ও উৎপত্তি"
"9-10","geography","অধ্যায় ২: মহাবিশ্ব ও আমাদের পৃথিবী","সৌরজগতের গ্রহসমূহ","বুধ, শুক্র, পৃথিবী, মঙ্গল, বৃহস্পতি, শনি, ইউরেনাস, নেপচুন","সৌরজগতের গ্রহসমূহ (বুধ, শুক্র, পৃথিবী, মঙ্গল, বৃহস্পতি, শনি, ইউরেনাস, নেপচুন)"
"9-10","geography","অধ্যায় ২: মহাবিশ্ব ও আমাদের পৃথিবী","পৃথিবীর আকার-আকৃতি ও পরিমাপ","","পৃথিবীর আকার-আকৃতি ও পরিমাপ"
"9-10","geography","অধ্যায় ২: মহাবিশ্ব ও আমাদের পৃথিবী","অক্ষরেখা ও দ্রাঘিমারেখা","","অক্ষরেখা ও দ্রাঘিমারেখা"
"9-10","geography","অধ্যায় ২: মহাবিশ্ব ও আমাদের পৃথিবী","আহ্নিক গতি ও তার প্রভাব","দিবারাত্রি সংঘটন, জোয়ার-ভাটা সৃষ্টি, বায়ুপ্রবাহ ও সমুদ্রস্রোতের দিক বিক্ষেপ, তাপমাত্রার তারতম্য, সময় গণনা, উদ্ভিদ ও প্রাণিজগৎ সৃষ্টি","আহ্নিক গতি ও তার প্রভাব (দিবারাত্রি সংঘটন, জোয়ার-ভাটা সৃষ্টি, বায়ুপ্রবাহ ও সমুদ্রস্রোতের দিক বিক্ষেপ, তাপমাত্রার তারতম্য, সময় গণনা, উদ্ভিদ ও প্রাণিজগৎ সৃষ্টি)"
"9-10","geography","অধ্যায় ২: মহাবিশ্ব ও আমাদের পৃথিবী","বার্ষিক গতি ও ঋতু পরিবর্তন","","বার্ষিক গতি ও ঋতু পরিবর্তন"
"9-10","geography","অধ্যায় ২: মহাবিশ্ব ও আমাদের পৃথিবী","দিবারাত্রি হ্রাস-বৃদ্ধির কারণ ও প্রভাব","","দিবারাত্রি হ্রাস-বৃদ্ধির কারণ ও প্রভাব"
"9-10","geography","অধ্যায় ২: মহাবিশ্ব ও আমাদের পৃথিবী","সৌরজগতের মডেল তৈরি","","সৌরজগতের মডেল তৈরি"
"9-10","geography","অধ্যায় ৩: মানচিত্র পঠন ও ব্যবহার","মানচিত্রের ধারণা, গুরুত্ব ও ব্যবহার","","মানচিত্রের ধারণা, গুরুত্ব ও ব্যবহার"
"9-10","geography","অধ্যায় ৩: মানচিত্র পঠন ও ব্যবহার","মানচিত্রের প্রকারভেদ","ভূচিত্রাবলি বা এটলাস মানচিত্র, দেয়াল মানচিত্র, ভূসংস্থানিক মানচিত্র, প্রাকৃতিক মানচিত্র, ভূতাত্ত্বিক মানচিত্র, জলবায়ুগত মানচিত্র, উদ্ভিজ্জ মানচিত্র, মৃত্তিকা মানচিত্র","মানচিত্রের প্রকারভেদ (ভূচিত্রাবলি বা এটলাস মানচিত্র, দেয়াল মানচিত্র, ভূসংস্থানিক মানচিত্র, প্রাকৃতিক মানচিত্র, ভূতাত্ত্বিক মানচিত্র, জলবায়ুগত মানচিত্র, উদ্ভিজ্জ মানচিত্র, মৃত্তিকা মানচিত্র)"
"9-10","geography","অধ্যায় ৩: মানচিত্র পঠন ও ব্যবহার","মানচিত্র অভিক্ষেপের ধারণা ও শ্রেণিবিভাগ","","মানচিত্র অভিক্ষেপের ধারণা ও শ্রেণিবিভাগ"
"9-10","geography","অধ্যায় ৩: মানচিত্র পঠন ও ব্যবহার","মানচিত্রের উপাদান ও প্রতীক","স্কেল, নির্দেশনা, রং, প্রতীক","মানচিত্রের উপাদান ও প্রতীক (স্কেল, নির্দেশনা, রং, প্রতীক)"
